,Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Touches,Touches,Touches,Touches,Touches,Touches,Touches,Dribbles,Dribbles,Dribbles,Dribbles,Dribbles,Carries,Carries,Carries,Carries,Carries,Carries,Carries,Carries,Receiving,Receiving,Receiving,Receiving
,Squad,# Pl,Poss,90s,Touches,Def Pen,Def 3rd,Mid 3rd,Att 3rd,Att Pen,Live,Succ,Att,Succ%,#Pl,Megs,Carries,TotDist,PrgDist,Prog,1/3,CPA,Mis,Dis,Targ,Rec,Rec%,Prog
0,vs Arminia,26,59.5,34.0,24293,2434,8680,11643,5537,1048,22575,273,492,55.5,295,22,15477,77737,40729,1458,457,154,485,424,18273,16016,87.6,1382
1,vs Augsburg,26,58.8,34.0,22809,2382,7771,10881,5558,910,21034,339,570,59.5,362,21,14463,71867,38706,1441,424,154,498,427,17479,14968,85.6,1347
2,vs Bayern Munich,30,35.2,34.0,17519,3051,7726,7089,3629,613,16062,284,550,51.6,306,39,9645,47008,24489,891,287,92,504,377,11778,9690,82.3,877
3,vs Bochum,28,55.5,34.0,21317,2513,7717,9703,5274,895,19510,300,574,52.3,326,29,13010,70969,37921,1299,421,144,515,427,15714,13198,84.0,1272
4,vs Dortmund,33,40.4,34.0,18605,2460,7077,8410,4179,700,17100,288,536,53.7,316,27,10791,53622,27926,1041,326,114,448,408,13199,11127,84.3,968
5,vs Eint Frankfurt,27,50.4,34.0,21766,2788,8207,9909,4827,848,20070,349,621,56.2,379,40,12789,61727,30908,1147,345,126,544,426,15436,13162,85.3,1163
6,vs Freiburg,26,50.8,34.0,20570,2596,7712,9215,4920,856,18887,257,477,53.9,280,18,12474,67226,36166,1320,408,148,434,391,14981,12747,85.1,1056
7,vs Greuther Fürth,29,56.6,34.0,22364,2116,7703,10481,5502,963,20709,285,568,50.2,315,38,14347,70849,37831,1406,409,152,452,414,16779,14526,86.6,1344
8,vs Hertha BSC,36,56.5,34.0,22400,2047,6915,11190,5710,953,20657,275,540,50.9,304,33,14214,72607,38232,1383,370,124,477,402,17090,14627,85.6,1287
9,vs Hoffenheim,32,46.4,34.0,20126,2796,8060,8984,4172,747,18436,234,488,48.0,267,26,11938,59334,30927,1048,321,117,451,364,14776,12573,85.1,978
10,vs Köln,26,44.9,34.0,18513,2726,7487,7623,4394,777,16685,372,703,52.9,410,43,10212,51749,26796,969,302,128,501,361,12756,10233,80.2,998
11,vs Leverkusen,29,46.1,34.0,19955,2232,6598,9422,5204,825,18416,254,493,51.5,282,23,12366,63643,34228,1327,440,119,522,349,14596,12369,84.7,1184
12,vs M'Gladbach,26,45.6,34.0,19703,2340,6946,9330,4623,833,18197,318,610,52.1,352,29,11876,61380,32005,1157,372,138,418,407,14364,12099,84.2,1031
13,vs Mainz 05,28,53.7,34.0,21763,2587,7819,10449,4733,701,20027,290,578,50.2,327,22,13065,63766,32048,1175,350,91,497,453,15841,13365,84.4,1032
14,vs RB Leipzig,29,43.4,34.0,19332,2430,7538,9082,3857,574,17795,267,469,56.9,285,28,11771,57013,29773,946,287,90,438,367,14335,11841,82.6,871
15,vs Stuttgart,34,49.3,34.0,21091,2451,7417,9644,5239,843,19510,264,528,50.0,297,27,12834,66363,34563,1327,396,150,463,359,15583,13278,85.2,1121
16,vs Union Berlin,28,56.6,34.0,23203,2249,8154,11545,4992,732,21479,271,536,50.6,299,28,14474,73984,37560,1247,355,106,530,369,17773,15367,86.5,1194
17,vs Wolfsburg,30,49.4,34.0,20342,2329,6740,9382,5362,852,18663,292,535,54.6,327,31,12171,59874,30150,1136,350,104,488,402,14951,12559,84.0,1206
