,Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Total,Total,Total,Total,Total,Short,Short,Short,Medium,Medium,Medium,Long,Long,Long,Unnamed: 17_level_0,Unnamed: 18_level_0,Unnamed: 19_level_0,Unnamed: 20_level_0,Unnamed: 21_level_0,Unnamed: 22_level_0,Unnamed: 23_level_0,Unnamed: 24_level_0
,Squad,# Pl,90s,Cmp,Att,Cmp%,TotDist,PrgDist,Cmp,Att,Cmp%,Cmp,Att,Cmp%,Cmp,Att,Cmp%,Ast,xA,A-xA,KP,1/3,PPA,CrsPA,Prog
0,vs Arminia,26,34.0,16016,19924,80.4,323413,110343,5790,6697,86.5,7436,8497,87.5,2530,4060,62.3,34,44.9,-10.9,389,1085,378,110,1382
1,vs Augsburg,26,34.0,14968,18643,80.3,297625,101466,5689,6525,87.2,6791,7803,87.0,2246,3602,62.4,40,41.3,-1.3,329,1068,310,82,1347
2,vs Bayern Munich,30,34.0,9690,13039,74.3,193999,79301,3934,4667,84.3,3949,4820,81.9,1601,2934,54.6,28,28.8,-0.8,220,677,212,60,877
3,vs Bochum,28,34.0,13198,17096,77.2,257630,99182,5256,6085,86.4,5756,6845,84.1,1901,3433,55.4,34,39.2,-5.2,349,1024,308,78,1272
4,vs Dortmund,33,34.0,11127,14534,76.6,226295,80127,4197,4914,85.4,4824,5714,84.4,1868,3306,56.5,32,25.9,6.1,247,704,241,68,968
5,vs Eint Frankfurt,27,34.0,13162,17162,76.7,265469,96065,4943,5853,84.5,5859,6945,84.4,2097,3609,58.1,33,34.8,-1.8,309,865,292,83,1163
6,vs Freiburg,26,34.0,12747,16499,77.3,259338,90908,4613,5484,84.1,5871,6928,84.7,2039,3529,57.8,35,32.6,2.4,352,910,274,76,1056
7,vs Greuther Fürth,29,34.0,14526,18174,79.9,296785,102651,5320,6164,86.3,6413,7438,86.2,2526,3830,66.0,56,41.0,15.0,363,1055,353,113,1344
8,vs Hertha BSC,36,34.0,14627,18334,79.8,293831,98552,5525,6381,86.6,6586,7553,87.2,2277,3698,61.6,44,34.6,9.4,319,1102,329,96,1287
9,vs Hoffenheim,32,34.0,12573,16039,78.4,258173,92953,4613,5360,86.1,5553,6463,85.9,2157,3560,60.6,46,37.5,8.5,303,789,236,71,978
10,vs Köln,26,34.0,10233,14133,72.4,212484,87942,3910,4773,81.9,4234,5304,79.8,1870,3402,55.0,38,40.1,-2.1,311,784,236,67,998
11,vs Leverkusen,29,34.0,12369,15812,78.2,242426,90293,4970,5819,85.4,5297,6226,85.1,1866,3157,59.1,25,25.2,-0.2,317,916,277,62,1184
12,vs M'Gladbach,26,34.0,12099,15594,77.6,241518,85823,4674,5485,85.2,5256,6142,85.6,1919,3268,58.7,46,38.1,7.9,330,808,254,77,1031
13,vs Mainz 05,28,34.0,13365,17218,77.6,272148,89245,4924,5786,85.1,5958,6969,85.5,2258,3793,59.5,32,28.5,3.5,250,906,227,68,1032
14,vs RB Leipzig,29,34.0,11841,15372,77.0,232687,82466,4720,5546,85.1,5090,5984,85.1,1792,3181,56.3,23,27.1,-4.1,251,677,194,48,871
15,vs Stuttgart,34,34.0,13278,16937,78.4,262744,92516,5145,5942,86.6,5884,6885,85.5,1999,3456,57.8,44,35.3,8.7,356,955,285,84,1121
16,vs Union Berlin,28,34.0,15367,19105,80.4,309201,102662,5741,6616,86.8,6964,7945,87.7,2434,3922,62.1,28,27.9,0.1,283,959,251,73,1194
17,vs Wolfsburg,30,34.0,12559,16226,77.4,252122,89787,4798,5662,84.7,5510,6500,84.8,2024,3411,59.3,39,33.4,5.6,306,944,323,84,1206
