,Unnamed: 0_level_0,Unnamed: 1_level_0,Playing Time,Playing Time,Playing Time,Playing Time,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Penalty Kicks,Penalty Kicks,Penalty Kicks,Penalty Kicks,Penalty Kicks
,Squad,# Pl,MP,Starts,Min,90s,GA,GA90,SoTA,Saves,Save%,W,D,L,CS,CS%,PKatt,PKA,PKsv,PKm,Save%
0,vs Arminia,2,34,34,3060,34.0,27,0.79,111,86,77.5,16,13,5,13,38.2,2,2,0,0,0.0
1,vs Augsburg,1,34,34,3060,34.0,39,1.15,116,82,70.7,16,8,10,9,26.5,5,5,0,0,0.0
2,vs Bayern Munich,3,34,34,3060,34.0,97,2.85,254,164,63.8,5,5,24,0,0.0,5,5,0,0,0.0
3,vs Bochum,2,34,34,3060,34.0,38,1.12,140,105,75.7,15,6,12,12,35.3,6,4,1,1,20.0
4,vs Dortmund,3,34,34,3060,34.0,85,2.5,165,92,55.2,9,3,22,1,2.9,11,11,0,0,0.0
5,vs Eint Frankfurt,3,34,34,3060,34.0,45,1.32,136,94,67.6,12,12,10,10,29.4,2,1,1,0,50.0
6,vs Freiburg,2,34,34,3060,34.0,58,1.71,155,103,65.8,9,10,15,6,17.6,6,5,1,0,16.7
7,vs Greuther Fürth,3,34,34,3060,34.0,28,0.82,94,73,75.5,22,9,3,11,32.4,5,5,0,0,0.0
8,vs Hertha BSC,2,34,34,3060,34.0,37,1.09,119,87,71.4,19,6,9,8,23.5,3,3,0,0,0.0
9,vs Hoffenheim,2,34,34,3060,34.0,58,1.71,147,92,60.5,14,7,13,8,23.5,0,0,0,0,
10,vs Köln,2,34,34,3060,34.0,52,1.53,151,97,66.2,10,10,14,7,20.6,1,1,0,0,0.0
11,vs Leverkusen,3,34,34,3060,34.0,80,2.35,184,109,57.6,8,7,19,4,11.8,6,2,3,1,60.0
12,vs M'Gladbach,2,34,34,3060,34.0,54,1.59,172,123,71.5,13,9,11,5,14.7,7,5,2,0,28.6
13,vs Mainz 05,2,34,34,3060,34.0,50,1.47,149,103,69.1,14,7,13,7,20.6,4,4,0,0,0.0
14,vs RB Leipzig,3,34,34,3060,34.0,72,2.12,171,105,62.6,10,7,17,5,14.7,9,8,0,1,0.0
15,vs Stuttgart,2,34,34,3060,34.0,41,1.21,154,113,74.0,15,12,7,11,32.4,3,1,1,1,50.0
16,vs Union Berlin,2,34,34,3060,34.0,50,1.47,149,103,69.8,9,9,16,8,23.5,5,5,0,0,0.0
17,vs Wolfsburg,2,34,34,3060,34.0,43,1.26,136,94,70.6,16,6,12,10,29.4,4,3,1,0,25.0
