,Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Tackles,Tackles,Tackles,Tackles,Tackles,Vs Dribbles,Vs Dribbles,Vs Dribbles,Vs Dribbles,Pressures,Pressures,Pressures,Pressures,Pressures,Pressures,Blocks,Blocks,Blocks,Blocks,Unnamed: 22_level_0,Unnamed: 23_level_0,Unnamed: 24_level_0,Unnamed: 25_level_0
,Squad,# Pl,90s,Tkl,TklW,Def 3rd,Mid 3rd,Att 3rd,Tkl,Att,Tkl%,Past,Press,Succ,%,Def 3rd,Mid 3rd,Att 3rd,Blocks,Sh,ShSv,Pass,Int,Tkl+Int,Clr,Err
0,vs Arminia,26,34.0,687,417,328,266,93,241,564,42.7,323,4841,1732,35.8,1543,2117,1181,548,119,2,429,488,1175,792,6
1,vs Augsburg,26,34.0,611,329,286,240,85,240,514,46.7,274,4576,1505,32.9,1374,2020,1182,480,89,4,391,499,1110,691,8
2,vs Bayern Munich,30,34.0,726,439,391,253,82,287,755,38.0,468,6413,1857,29.0,2412,2747,1254,627,179,5,448,800,1526,808,18
3,vs Bochum,28,34.0,586,349,287,225,74,187,455,41.1,268,4663,1517,32.5,1473,1917,1273,474,98,0,376,505,1091,751,8
4,vs Dortmund,33,34.0,651,404,310,266,75,258,612,42.2,354,6115,1828,29.9,1947,2823,1345,560,117,2,443,708,1359,581,10
5,vs Eint Frankfurt,27,34.0,619,369,315,228,76,214,524,40.8,310,5009,1696,33.9,1596,2241,1172,623,139,0,484,648,1267,812,6
6,vs Freiburg,26,34.0,518,330,246,194,78,186,432,43.1,246,4861,1519,31.2,1565,2103,1193,538,113,3,425,505,1023,768,15
7,vs Greuther Fürth,29,34.0,674,406,331,258,85,253,553,45.8,300,5361,1724,32.2,1667,2361,1333,530,94,5,436,500,1174,643,8
8,vs Hertha BSC,36,34.0,657,415,270,286,101,229,497,46.1,268,5238,1759,33.6,1397,2320,1521,517,87,1,430,513,1170,572,9
9,vs Hoffenheim,32,34.0,577,333,313,199,65,212,457,46.4,245,5367,1593,29.7,1744,2168,1455,592,120,1,472,605,1182,663,7
10,vs Köln,26,34.0,571,359,263,230,78,211,511,41.3,300,5174,1618,31.3,1574,2205,1395,638,104,1,534,568,1139,796,7
11,vs Leverkusen,29,34.0,697,428,327,264,106,276,703,39.3,427,5710,1793,31.4,1613,2583,1514,541,109,4,432,621,1318,577,9
12,vs M'Gladbach,26,34.0,679,419,307,306,66,240,572,42.0,332,5926,1947,32.9,1680,2884,1362,563,153,3,410,566,1245,571,14
13,vs Mainz 05,28,34.0,596,348,280,257,59,211,484,43.6,273,5195,1798,34.6,1626,2357,1212,554,119,1,435,545,1141,922,14
14,vs RB Leipzig,29,34.0,623,368,310,244,69,234,587,39.9,353,6580,1952,29.7,2136,3080,1364,561,115,3,446,576,1199,647,7
15,vs Stuttgart,34,34.0,703,428,336,284,83,275,673,40.9,398,5661,1809,32.0,1794,2688,1179,537,119,1,418,532,1235,665,4
16,vs Union Berlin,28,34.0,473,263,231,174,68,156,410,38.0,254,4730,1527,32.3,1458,2143,1129,544,81,1,463,486,959,773,10
17,vs Wolfsburg,30,34.0,599,362,249,266,84,213,549,38.8,336,5268,1656,31.4,1412,2513,1343,521,118,1,403,542,1141,657,10
