,Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Pass Types,Pass Types,Pass Types,Pass Types,Pass Types,Pass Types,Pass Types,Pass Types,Corner Kicks,Corner Kicks,Corner Kicks,Height,Height,Height,Body Parts,Body Parts,Body Parts,Body Parts,Body Parts,Outcomes,Outcomes,Outcomes,Outcomes,Outcomes
,Squad,# Pl,90s,Att,Live,Dead,FK,TB,Press,Sw,Crs,CK,In,Out,Str,Ground,Low,High,Left,Right,Head,TI,Other,Cmp,Off,Out,Int,Blocks
0,vs Arminia,26,34.0,19924,18154,1770,464,22,3026,485,481,196,88,83,4,13460,2538,3926,5667,11660,858,808,301,16016,77,338,574,414
1,vs Augsburg,26,34.0,18643,16813,1830,495,32,3040,467,446,194,80,82,8,12763,2396,3484,5427,10829,760,804,274,14968,50,273,568,467
2,vs Bayern Munich,30,34.0,13039,11538,1501,365,22,2281,321,318,107,58,30,5,8165,1893,2981,3902,7405,529,544,274,9690,69,302,523,409
3,vs Bochum,28,34.0,17096,15233,1863,476,32,2858,364,395,181,81,79,9,10890,2409,3797,4970,9527,849,866,306,13198,39,302,634,417
4,vs Dortmund,33,34.0,14534,12985,1549,413,32,2408,419,314,144,76,53,4,9243,2011,3280,4266,8389,609,622,269,11127,62,260,493,418
5,vs Eint Frankfurt,27,34.0,17162,15407,1755,458,26,2813,406,396,160,80,41,5,10909,2414,3839,4871,9871,827,774,223,13162,77,316,533,481
6,vs Freiburg,26,34.0,16499,14766,1733,432,30,2280,444,433,175,83,66,6,10712,2012,3775,4403,9753,754,756,248,12747,51,286,496,377
7,vs Greuther Fürth,29,34.0,18174,16442,1732,487,34,2908,537,480,186,71,77,6,12304,2392,3478,5276,10618,736,783,237,14526,51,280,587,451
8,vs Hertha BSC,36,34.0,18334,16557,1777,463,31,2407,523,475,195,84,77,7,12310,2397,3627,5507,10590,710,814,228,14627,81,316,516,483
9,vs Hoffenheim,32,34.0,16039,14286,1753,484,29,2585,410,384,148,61,58,5,10375,2215,3449,4715,9124,687,747,251,12573,96,286,431,436
10,vs Köln,26,34.0,14133,12258,1875,460,29,2796,424,320,179,84,80,2,8072,2228,3833,3773,7975,772,826,231,10233,62,304,599,457
11,vs Leverkusen,29,34.0,15812,14223,1589,411,22,2407,410,359,144,80,44,1,10543,2016,3253,4629,9207,657,676,227,12369,46,311,593,400
12,vs M'Gladbach,26,34.0,15594,14037,1557,410,26,2444,422,371,170,89,52,9,10211,2089,3294,4573,8984,687,671,239,12099,76,276,527,462
13,vs Mainz 05,28,34.0,17218,15436,1782,528,19,2740,465,332,156,65,55,6,11168,2395,3655,4864,10039,764,746,259,13365,40,297,553,453
14,vs RB Leipzig,29,34.0,15372,13785,1587,415,22,2674,361,285,126,56,49,4,9978,2096,3298,4598,8751,662,699,273,11841,85,263,509,443
15,vs Stuttgart,34,34.0,16937,15311,1626,403,11,2454,387,439,172,84,64,4,11186,2246,3505,4841,9970,704,719,252,13278,27,295,526,435
16,vs Union Berlin,28,34.0,19105,17320,1785,471,21,2795,474,377,148,67,55,2,13013,2374,3718,5689,10947,753,818,257,15367,31,281,504,412
17,vs Wolfsburg,30,34.0,16226,14494,1732,458,33,2829,407,426,181,71,78,2,10639,2120,3467,4757,9298,688,768,235,12559,45,278,568,460
