,Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Expected,Expected,Expected,Expected,Expected
,Squad,# Pl,90s,Gls,Sh,SoT,SoT%,Sh/90,SoT/90,G/Sh,G/SoT,Dist,FK,PK,PKatt,xG,npxG,npxG/Sh,G-xG,np:G-xG
0,vs Arminia,26,34.0,51,525,176,33.5,15.44,5.18,0.08,0.25,15.1,14,7,7,62.3,57.2,0.11,-11.3,-13.2
1,vs Augsburg,26,34.0,54,478,152,31.8,14.06,4.47,0.1,0.32,16.9,23,5,5,58.3,54.5,0.12,-4.3,-5.5
2,vs Bayern Munich,30,34.0,36,319,112,35.1,9.38,3.29,0.11,0.3,16.8,8,2,2,37.1,35.6,0.11,-1.1,-1.6
3,vs Bochum,28,34.0,48,472,167,35.4,13.88,4.91,0.09,0.26,16.6,11,5,8,56.8,51.1,0.11,-8.8,-8.1
4,vs Dortmund,33,34.0,50,368,128,34.8,10.82,3.76,0.12,0.34,16.4,16,6,6,43.2,38.7,0.11,6.8,5.3
5,vs Eint Frankfurt,27,34.0,48,434,163,37.6,12.76,4.79,0.1,0.27,16.0,12,4,4,51.5,48.4,0.11,-3.5,-4.4
6,vs Freiburg,26,34.0,45,481,152,31.6,14.15,4.47,0.09,0.28,17.7,12,2,2,45.1,43.7,0.09,-0.1,-0.7
7,vs Greuther Fürth,29,34.0,77,504,182,36.1,14.82,5.35,0.14,0.39,16.3,13,6,6,60.3,55.8,0.11,16.7,15.2
8,vs Hertha BSC,36,34.0,71,457,164,35.9,13.44,4.82,0.14,0.38,16.0,22,8,8,55.3,49.3,0.11,15.7,13.7
9,vs Hoffenheim,32,34.0,59,422,161,38.2,12.41,4.74,0.14,0.35,15.9,8,2,4,52.5,49.5,0.12,6.5,7.5
10,vs Köln,26,34.0,47,435,151,34.7,12.79,4.44,0.11,0.31,16.1,19,0,1,51.9,51.2,0.12,-4.9,-4.2
11,vs Leverkusen,29,34.0,46,456,161,35.3,13.41,4.74,0.1,0.27,17.3,11,2,4,43.1,40.1,0.09,2.9,3.9
12,vs M'Gladbach,26,34.0,60,477,178,37.3,14.03,5.24,0.12,0.32,15.8,15,3,5,54.7,50.9,0.11,5.3,6.1
13,vs Mainz 05,28,34.0,44,381,119,31.2,11.21,3.5,0.1,0.33,18.1,22,5,6,46.0,41.9,0.11,-2.0,-2.9
14,vs RB Leipzig,29,34.0,36,351,111,31.6,10.32,3.26,0.09,0.3,16.4,7,3,3,41.8,39.5,0.12,-5.8,-6.5
15,vs Stuttgart,34,34.0,58,503,156,31.0,14.79,4.59,0.11,0.35,17.0,13,4,4,51.5,48.7,0.1,6.5,5.3
16,vs Union Berlin,28,34.0,40,396,123,31.1,11.65,3.62,0.1,0.31,16.8,10,2,2,41.6,40.1,0.1,-1.6,-2.1
17,vs Wolfsburg,30,34.0,53,441,147,33.3,12.97,4.32,0.11,0.33,17.2,16,4,7,49.8,44.5,0.1,3.2,4.5
