,Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Touches,Touches,Touches,Touches,Touches,Touches,Touches,Dribbles,Dribbles,Dribbles,Dribbles,Dribbles,Carries,Carries,Carries,Carries,Carries,Carries,Carries,Carries,Receiving,Receiving,Receiving,Receiving
,Squad,# Pl,Poss,90s,Touches,Def Pen,Def 3rd,Mid 3rd,Att 3rd,Att Pen,Live,Succ,Att,Succ%,#Pl,Megs,Carries,TotDist,PrgDist,Prog,1/3,CPA,Mis,Dis,Targ,Rec,Rec%,Prog
0,vs Atalanta,19,54.3,3.0,1809,173,530,914,469,65,1656,28,58,48.3,32,4,1201,6859,3712,138,33,12,59,20,1340,1181,88.1,121
1,vs Bologna,19,45.3,3.0,1497,174,464,666,456,75,1358,25,41,61.0,25,2,911,5324,2999,120,37,13,42,25,1100,907,82.5,77
2,vs Cremonese,22,56.0,4.0,2464,323,868,1056,707,152,2265,36,68,52.9,38,2,1536,9023,4761,173,63,32,52,55,1818,1600,88.0,153
3,vs Empoli,19,48.0,3.0,1658,152,527,721,525,71,1531,25,43,58.1,29,1,1084,6385,3397,133,51,13,45,40,1156,1020,88.2,82
4,vs Fiorentina,22,37.7,3.0,1404,264,641,574,268,50,1286,18,36,50.0,18,3,855,4140,2029,68,21,10,34,35,921,827,89.8,57
5,vs Hellas Verona,22,56.3,3.0,1642,204,557,750,420,84,1473,24,46,52.2,27,1,975,5437,2740,104,40,18,40,34,1186,995,83.9,80
6,vs Inter,20,42.5,4.0,2167,333,855,986,466,70,1981,22,44,50.0,22,0,1301,6896,3679,147,50,12,40,42,1577,1402,88.9,106
7,vs Juventus,21,49.3,3.0,1700,206,551,839,426,40,1550,16,38,42.1,18,2,1059,5976,3270,134,43,7,41,22,1315,1194,90.8,77
8,vs Lazio,18,54.7,3.0,1884,242,695,872,425,76,1774,21,34,61.8,22,3,1292,6494,3046,104,24,12,37,35,1491,1379,92.5,93
9,vs Lecce,18,63.0,3.0,2051,234,709,981,487,72,1874,15,28,53.6,16,3,1383,7077,3734,109,35,10,47,33,1616,1448,89.6,100
10,vs Milan,22,42.8,4.0,2008,311,851,879,413,45,1834,17,46,37.0,19,4,1119,6322,3237,124,45,9,54,36,1424,1229,86.3,88
11,vs Monza,25,45.8,4.0,2180,268,725,1068,551,130,2014,31,62,50.0,33,3,1490,8393,4517,173,62,33,39,34,1643,1484,90.3,109
12,vs Napoli,19,43.0,3.0,1557,227,590,749,329,36,1441,16,34,47.1,20,3,986,5049,2675,105,42,7,34,30,1093,979,89.6,68
13,vs Roma,19,55.3,4.0,2532,244,706,1290,712,82,2378,24,51,47.1,27,0,1770,9305,5068,199,71,8,41,47,1978,1793,90.6,166
14,vs Salernitana,20,50.0,3.0,1718,189,644,782,415,93,1573,28,38,73.7,29,3,1104,5986,3471,107,48,15,36,34,1296,1125,86.8,103
15,vs Sampdoria,20,47.7,3.0,1593,198,629,776,316,47,1476,18,30,60.0,18,3,1083,6112,3358,86,37,6,33,39,1183,1050,88.8,84
16,vs Sassuolo,20,46.8,4.0,2158,333,909,917,453,71,1979,30,47,63.8,32,1,1408,7885,4279,136,45,11,47,23,1587,1396,88.0,115
17,vs Spezia,18,57.0,3.0,2056,188,683,918,592,106,1899,19,47,40.4,23,1,1475,8038,4211,152,48,18,43,33,1560,1428,91.5,121
18,vs Torino,21,51.0,3.0,1681,236,683,734,351,60,1546,13,20,65.0,14,2,949,4981,2507,84,21,10,37,25,1252,1047,83.6,89
19,vs Udinese,20,56.0,3.0,1845,189,591,946,440,59,1711,18,45,40.0,23,3,1244,6658,3728,126,41,3,42,32,1385,1273,91.9,106
