,Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Tackles,Tackles,Tackles,Tackles,Tackles,Vs Dribbles,Vs Dribbles,Vs Dribbles,Vs Dribbles,Pressures,Pressures,Pressures,Pressures,Pressures,Pressures,Blocks,Blocks,Blocks,Blocks,Unnamed: 22_level_0,Unnamed: 23_level_0,Unnamed: 24_level_0,Unnamed: 25_level_0
,Squad,# Pl,90s,Tkl,TklW,Def 3rd,Mid 3rd,Att 3rd,Tkl,Att,Tkl%,Past,Press,Succ,%,Def 3rd,Mid 3rd,Att 3rd,Blocks,Sh,ShSv,Pass,Int,Tkl+Int,Clr,Err
0,vs Atalanta,19,3.0,45,31,20,21,4,16,36,44.4,20,395,127,32.2,108,180,107,36,9,0,27,46,91,38,0
1,vs Bologna,19,3.0,53,29,11,28,14,22,40,55.0,18,378,113,29.9,82,181,115,40,9,0,31,34,87,38,0
2,vs Cremonese,21,3.0,42,21,19,18,5,11,24,45.8,13,289,84,29.1,100,114,75,50,15,0,35,40,82,65,0
3,vs Empoli,19,3.0,42,34,19,17,6,16,30,53.3,14,280,91,32.5,106,106,68,23,5,0,18,51,93,29,0
4,vs Fiorentina,22,3.0,56,37,26,25,5,11,29,37.9,18,392,101,25.8,123,185,84,46,18,0,28,28,84,65,1
5,vs Hellas Verona,22,3.0,39,24,31,5,3,17,32,53.1,15,263,87,33.1,96,118,49,45,9,0,36,37,76,71,0
6,vs Inter,18,3.0,47,32,24,15,8,14,32,43.8,18,339,92,27.1,121,142,76,48,10,0,38,39,86,67,0
7,vs Juventus,21,3.0,34,23,15,14,5,10,28,35.7,18,281,59,21.0,67,150,64,35,8,0,27,34,68,59,0
8,vs Lazio,18,3.0,39,22,14,14,11,9,30,30.0,21,343,96,28.0,95,138,110,28,5,0,23,32,71,31,1
9,vs Lecce,18,3.0,17,20,6,8,3,9,17,52.9,8,184,57,31.0,44,93,47,23,4,0,19,26,43,21,0
10,vs Milan,21,3.0,45,29,22,21,2,20,59,33.9,39,300,81,27.0,95,143,62,51,12,0,39,27,72,54,1
11,vs Monza,24,3.0,49,30,19,22,8,17,36,47.2,19,413,146,35.4,102,191,120,38,7,0,31,34,83,29,2
12,vs Napoli,19,3.0,69,39,30,33,6,26,55,47.3,29,391,123,31.5,117,186,88,58,22,0,36,36,105,45,0
13,vs Roma,18,3.0,59,30,29,24,6,29,58,50.0,29,366,112,30.6,129,156,81,49,19,2,30,26,85,32,0
14,vs Salernitana,20,3.0,54,37,26,23,5,11,27,40.7,16,348,107,30.7,131,143,74,42,10,0,32,42,96,43,1
15,vs Sampdoria,20,3.0,44,27,17,23,4,19,43,44.2,24,340,98,28.8,124,155,61,43,13,0,30,47,91,43,0
16,vs Sassuolo,18,3.0,37,21,16,19,2,10,31,32.3,21,402,120,29.9,148,184,70,48,15,0,33,44,81,64,2
17,vs Spezia,18,3.0,48,31,21,18,9,14,44,31.8,30,402,141,35.1,105,167,130,39,4,0,35,41,89,37,0
18,vs Torino,21,3.0,58,35,26,24,8,26,55,47.3,29,349,108,30.9,102,143,104,43,13,0,30,28,86,57,0
19,vs Udinese,20,3.0,47,28,30,11,6,18,45,40.0,27,360,96,26.7,125,167,68,45,17,1,28,52,99,41,0
