,Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Pass Types,Pass Types,Pass Types,Pass Types,Pass Types,Pass Types,Pass Types,Pass Types,Corner Kicks,Corner Kicks,Corner Kicks,Height,Height,Height,Body Parts,Body Parts,Body Parts,Body Parts,Body Parts,Outcomes,Outcomes,Outcomes,Outcomes,Outcomes
,Squad,# Pl,90s,Att,Live,Dead,FK,TB,Press,Sw,Crs,CK,In,Out,Str,Ground,Low,High,Left,Right,Head,TI,Other,Cmp,Off,Out,Int,Blocks
0,vs Atalanta,19,3.0,1491,1333,158,43,2,147,40,37,16,2,13,0,1007,195,289,436,866,57,65,26,1181,5,31,41,44
1,vs Bologna,19,3.0,1183,1042,141,41,5,146,33,41,16,1,13,0,750,145,288,375,642,48,55,21,907,7,24,28,31
2,vs Cremonese,22,4.0,1960,1756,204,58,0,253,97,58,25,10,13,0,1294,227,439,510,1178,84,76,34,1600,4,23,40,51
3,vs Empoli,19,3.0,1321,1188,133,28,1,144,59,56,18,4,11,0,836,154,331,480,667,58,66,15,1020,8,28,24,32
4,vs Fiorentina,22,3.0,1070,948,122,33,0,149,21,27,8,4,2,0,710,113,247,283,647,52,47,13,827,2,19,36,22
5,vs Hellas Verona,22,3.0,1277,1107,170,49,2,137,36,34,23,11,6,2,779,192,306,353,731,76,62,17,983,1,19,31,36
6,vs Inter,20,4.0,1717,1523,194,57,2,175,38,28,18,6,9,0,1256,158,303,486,1061,42,68,32,1402,5,29,39,35
7,vs Juventus,21,3.0,1409,1255,154,42,1,138,47,22,10,5,4,0,1066,130,213,443,832,25,64,15,1194,3,25,33,25
8,vs Lazio,18,3.0,1612,1500,112,29,0,147,43,39,12,10,2,0,1187,182,243,451,1008,43,49,24,1379,5,26,23,32
9,vs Lecce,18,3.0,1748,1568,180,50,0,230,40,38,18,7,9,1,1257,235,256,522,1040,46,79,28,1448,4,19,44,51
10,vs Milan,22,4.0,1562,1385,177,51,0,279,69,26,9,3,3,1,1062,170,330,422,920,69,65,53,1229,6,35,48,40
11,vs Monza,25,4.0,1779,1604,175,46,5,178,50,35,27,15,9,0,1290,187,302,495,1128,48,62,22,1484,9,28,52,36
12,vs Napoli,19,3.0,1230,1105,125,36,1,113,25,22,10,4,4,1,883,117,230,331,789,38,39,14,979,2,21,35,28
13,vs Roma,19,4.0,2128,1977,151,34,0,216,68,66,18,7,9,0,1642,179,307,669,1274,52,64,27,1793,3,34,51,47
14,vs Salernitana,20,3.0,1399,1244,155,48,2,119,38,22,11,7,3,1,974,167,258,383,847,57,67,17,1125,7,25,43,28
15,vs Sampdoria,20,3.0,1294,1171,123,39,4,161,53,32,12,1,5,0,918,131,245,340,821,38,41,27,1050,6,22,46,24
16,vs Sassuolo,20,4.0,1765,1580,185,46,3,198,65,38,17,5,9,1,1171,210,384,560,978,72,80,42,1396,12,50,46,41
17,vs Spezia,18,3.0,1724,1560,164,45,2,160,66,56,20,7,7,0,1207,213,304,570,978,50,75,25,1428,8,32,43,30
18,vs Torino,21,3.0,1374,1230,144,55,0,215,35,36,9,3,4,0,893,179,302,321,855,74,49,26,1047,1,26,44,33
19,vs Udinese,20,3.0,1510,1372,138,32,3,142,65,37,14,0,12,0,1128,155,227,521,836,39,61,26,1273,5,26,32,38
