,Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Aerial Duels,Aerial Duels,Aerial Duels
,Squad,# Pl,90s,CrdY,CrdR,2CrdY,Fls,Fld,Off,Crs,Int,TklW,PKwon,PKcon,OG,Recov,Won,Lost,Won%
0,vs Atalanta,19,3.0,10,0,0,35,50,6,37,46,31,0,0,0,260,57,51,52.8
1,vs Bologna,19,3.0,7,1,0,38,36,10,41,34,29,0,1,0,243,44,31,58.7
2,vs Cremonese,22,4.0,3,0,0,50,59,4,58,53,29,0,0,0,341,99,61,61.9
3,vs Empoli,19,3.0,6,0,0,39,28,8,56,48,31,0,0,0,267,44,39,53.0
4,vs Fiorentina,22,3.0,7,2,0,49,36,4,27,28,37,0,0,0,214,39,51,43.3
5,vs Hellas Verona,22,3.0,8,1,0,23,43,3,34,37,24,0,0,0,251,54,59,47.8
6,vs Inter,20,4.0,9,0,0,53,47,5,28,51,41,0,0,0,233,46,71,39.3
7,vs Juventus,21,3.0,8,0,0,23,35,3,22,34,23,0,1,0,171,47,41,53.4
8,vs Lazio,18,3.0,7,1,1,41,27,6,39,32,22,1,0,1,216,44,39,53.0
9,vs Lecce,18,3.0,9,0,0,41,40,4,38,22,19,0,0,0,242,45,54,45.5
10,vs Milan,22,4.0,14,0,0,60,48,6,26,37,37,1,1,0,295,54,48,52.9
11,vs Monza,25,4.0,6,0,0,53,44,12,35,50,41,0,0,0,255,38,40,48.7
12,vs Napoli,19,3.0,5,0,0,42,31,2,22,36,39,0,0,0,209,33,44,42.9
13,vs Roma,19,4.0,11,0,0,57,34,3,66,41,38,0,0,0,308,49,65,43.0
14,vs Salernitana,20,3.0,6,1,0,36,49,7,22,42,37,0,0,0,224,43,38,53.1
15,vs Sampdoria,20,3.0,10,0,0,56,41,6,32,47,27,0,0,0,205,35,44,44.3
16,vs Sassuolo,20,4.0,6,1,1,54,48,12,38,50,26,2,1,0,283,51,62,45.1
17,vs Spezia,18,3.0,2,0,0,31,44,7,56,41,31,0,1,0,264,42,33,56.0
18,vs Torino,21,3.0,6,0,0,29,50,2,36,28,35,0,0,0,266,58,51,53.2
19,vs Udinese,20,3.0,8,0,0,47,34,5,37,52,28,1,0,0,216,38,39,49.4
