,Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Expected,Expected,Expected,Expected,Expected
,Squad,# Pl,90s,Gls,Sh,SoT,SoT%,Sh/90,SoT/90,G/Sh,G/SoT,Dist,FK,PK,PKatt,xG,npxG,npxG/Sh,G-xG,np:G-xG
0,vs Atalanta,19,3.0,1,43,9,20.9,14.33,3.0,0.02,0.11,21.5,2,0,0,2.1,2.1,0.05,-1.1,-1.1
1,vs Bologna,19,3.0,4,47,17,36.2,15.67,5.67,0.09,0.24,16.3,0,0,0,4.8,4.8,0.1,-0.8,-0.8
2,vs Cremonese,21,3.0,6,69,25,36.2,23.0,8.33,0.09,0.24,15.7,2,0,0,7.5,7.5,0.11,-1.5,-1.5
3,vs Empoli,19,3.0,2,43,9,20.9,14.33,3.0,0.05,0.22,18.0,0,0,0,1.8,1.8,0.04,0.2,0.2
4,vs Fiorentina,22,3.0,2,31,8,25.8,10.33,2.67,0.06,0.25,15.1,3,0,0,3.0,3.0,0.1,-1.0,-1.0
5,vs Hellas Verona,22,3.0,7,60,20,33.3,20.0,6.67,0.12,0.35,17.9,1,0,0,4.3,4.3,0.07,2.7,2.7
6,vs Inter,18,3.0,4,23,11,47.8,7.67,3.67,0.17,0.36,15.5,2,0,0,1.9,1.9,0.08,2.1,2.1
7,vs Juventus,21,3.0,1,37,12,32.4,12.33,4.0,0.03,0.08,20.3,2,0,0,2.9,2.9,0.08,-1.9,-1.9
8,vs Lazio,18,3.0,2,39,10,25.6,13.0,3.33,0.03,0.1,16.6,1,1,1,4.2,3.4,0.09,-2.2,-2.4
9,vs Lecce,18,3.0,4,41,15,36.6,13.67,5.0,0.1,0.27,17.3,2,0,0,3.1,3.1,0.08,0.9,0.9
10,vs Milan,21,3.0,3,28,6,21.4,9.33,2.0,0.11,0.5,19.5,1,0,0,1.4,1.4,0.05,1.6,1.6
11,vs Monza,24,3.0,8,49,15,30.6,16.33,5.0,0.16,0.53,13.4,2,0,0,7.1,7.1,0.15,0.9,0.9
12,vs Napoli,19,3.0,2,20,9,45.0,6.67,3.0,0.1,0.22,17.7,0,0,0,1.8,1.8,0.09,0.2,0.2
13,vs Roma,18,3.0,1,41,8,19.5,13.67,2.67,0.02,0.13,22.4,6,0,0,1.7,1.7,0.04,-0.7,-0.7
14,vs Salernitana,20,3.0,1,52,11,21.2,17.33,3.67,0.02,0.09,14.1,3,0,0,5.3,5.3,0.11,-4.3,-4.3
15,vs Sampdoria,20,3.0,6,28,13,46.4,9.33,4.33,0.21,0.46,14.7,1,0,0,4.5,4.5,0.16,1.5,1.5
16,vs Sassuolo,18,3.0,5,26,5,19.2,8.67,1.67,0.12,0.6,17.4,1,2,2,3.4,1.9,0.07,1.6,1.1
17,vs Spezia,18,3.0,5,59,21,35.6,19.67,7.0,0.08,0.24,16.0,1,0,0,6.8,6.8,0.12,-1.8,-1.8
18,vs Torino,21,3.0,2,38,12,31.6,12.67,4.0,0.05,0.17,19.0,2,0,0,3.3,3.3,0.09,-1.3,-1.3
19,vs Udinese,20,3.0,5,40,15,37.5,13.33,5.0,0.1,0.27,16.7,2,1,1,4.7,4.0,0.1,0.3,0.0
