,Unnamed: 0_level_0,Unnamed: 1_level_0,Playing Time,Playing Time,Playing Time,Playing Time,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Penalty Kicks,Penalty Kicks,Penalty Kicks,Penalty Kicks,Penalty Kicks
,Squad,# Pl,MP,Starts,Min,90s,GA,GA90,SoTA,Saves,Save%,W,D,L,CS,CS%,PKatt,PKA,PKsv,PKm,Save%
0,vs Atalanta,1,3,3,270,3.0,4,1.33,12,8,66.7,0,1,2,0,0.0,0,0,0,0,
1,vs Bologna,1,3,3,268,3.0,2,0.67,7,6,85.7,2,1,0,1,33.3,1,1,0,0,0.0
2,vs Cremonese,1,3,3,270,3.0,3,1.0,13,10,76.9,3,0,0,1,33.3,0,0,0,0,
3,vs Empoli,1,3,3,270,3.0,1,0.33,10,9,90.0,1,2,0,2,66.7,0,0,0,0,
4,vs Fiorentina,1,3,3,270,3.0,3,1.0,16,13,81.3,0,2,1,2,66.7,0,0,0,0,
5,vs Hellas Verona,1,3,3,270,3.0,3,1.0,8,5,62.5,2,1,0,1,33.3,0,0,0,0,
6,vs Inter,1,3,3,270,3.0,6,2.0,24,18,75.0,1,0,2,0,0.0,0,0,0,0,
7,vs Juventus,2,3,3,270,3.0,4,1.33,10,7,70.0,0,2,1,1,33.3,1,1,0,0,0.0
8,vs Lazio,2,3,3,270,3.0,5,1.67,16,12,68.8,0,1,2,1,33.3,0,0,0,0,
9,vs Lecce,1,3,3,270,3.0,2,0.67,10,8,80.0,2,1,0,1,33.3,0,0,0,0,
10,vs Milan,1,3,3,270,3.0,7,2.33,17,11,64.7,0,1,2,0,0.0,1,1,0,0,0.0
11,vs Monza,1,3,3,270,3.0,2,0.67,10,8,80.0,3,0,0,1,33.3,0,0,0,0,
12,vs Napoli,1,3,3,270,3.0,9,3.0,15,6,40.0,0,1,2,1,33.3,0,0,0,0,
13,vs Roma,1,3,3,270,3.0,3,1.0,18,14,83.3,0,1,2,0,0.0,0,0,0,0,
14,vs Salernitana,1,3,3,270,3.0,4,1.33,14,10,71.4,1,1,1,2,66.7,0,0,0,0,
15,vs Sampdoria,1,3,3,270,3.0,0,0.0,8,7,100.0,2,1,0,3,100.0,0,0,0,0,
16,vs Sassuolo,1,3,3,270,3.0,3,1.0,18,15,83.3,1,1,1,1,33.3,0,0,0,0,
17,vs Spezia,1,3,3,270,3.0,3,1.0,3,1,33.3,1,1,1,1,33.3,1,1,0,0,0.0
18,vs Torino,1,3,3,270,3.0,4,1.33,12,8,66.7,0,1,2,1,33.3,0,0,0,0,
19,vs Udinese,1,3,3,270,3.0,4,1.33,10,6,60.0,1,1,1,1,33.3,0,0,0,0,
