,Player,Nation,Pos,Age,MP,Starts,Min,90s,Gls,Ast,G-PK,PK,PKatt,CrdY,CrdR,Gls/P90,Ast/P90,G+A/P90,G-PK/P90,G+A-PK/P90,xG,npxG,xA,npxG+xA,xG/P90,xA/P90,xG+xA/P90,npxG/P90,npxG+xA/P90
227,Alessandro Bianco,it ITA,MF,19-334,0,0,,,,,,,,,,,,,,,,,,,,,,,
228,Michele Cerofolini,it ITA,GK,23-239,0,0,,,,,,,,,,,,,,,,,,,,,,,
229,Matija Nastasić,rs SRB,DF,29-156,0,0,,,,,,,,,,,,,,,,,,,,,,,
230,Luca Ranieri,it ITA,DF,23-130,0,0,,,,,,,,,,,,,,,,,,,,,,,
231,Pietro Terracciano,it ITA,GK,32-176,0,0,,,,,,,,,,,,,,,,,,,,,,,
232,Lorenzo Venuti,it ITA,"DF,MF",27-141,0,0,,,,,,,,,,,,,,,,,,,,,,,
233,Andrea Consigli,it ITA,GK,35-216,4,4,360.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
234,Gian Marco Ferrari,it ITA,DF,30-197,4,4,360.0,4.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3,0.3,0.1,0.3,0.06,0.02,0.08,0.06,0.08
235,Rogério,br BRA,DF,24-230,4,4,360.0,4.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3,0.3,0.01,0.07,0.08,0.01,0.08
236,Domenico Berardi,it ITA,FW,28-030,4,4,321.0,3.6,1.0,0.0,1.0,0.0,1.0,1.0,0.0,0.28,0.0,0.28,0.28,0.28,1.2,0.4,0.6,1.0,0.33,0.18,0.51,0.11,0.29
237,Giorgos Kyriakopoulos,gr GRE,FW,26-207,4,4,306.0,3.4,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.29,0.29,0.0,0.29,0.2,0.2,0.7,0.9,0.05,0.21,0.26,0.05,0.26
238,Davide Frattesi,it ITA,MF,22-313,4,4,293.0,3.3,1.0,0.0,1.0,0.0,0.0,2.0,0.0,0.31,0.0,0.31,0.31,0.31,1.0,1.0,0.1,1.1,0.31,0.02,0.33,0.31,0.33
239,Jeremy Toljan,de GER,DF,28-023,4,3,354.0,3.9,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.25,0.25,0.0,0.25,0.0,0.0,0.8,0.8,0.01,0.19,0.2,0.01,0.2
240,Martin Erlic,hr CRO,DF,24-219,3,3,270.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
241,Maxime Lopez,fr FRA,MF,24-270,3,3,270.0,3.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4,0.4,0.0,0.13,0.13,0.0,0.13
242,Matheus Henrique,br BRA,MF,24-255,4,3,264.0,2.9,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4,0.4,0.2,0.6,0.15,0.06,0.2,0.15,0.2
243,Andrea Pinamonti,it ITA,FW,23-104,4,3,253.0,2.8,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.36,0.0,0.36,0.36,0.36,1.0,1.0,0.2,1.2,0.36,0.07,0.43,0.36,0.43
244,Kristian Thorstvedt,no NOR,MF,23-171,4,2,198.0,2.2,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.5,0.6,1.1,0.21,0.27,0.48,0.21,0.48
245,Grégoire Defrel,mq MTQ,FW,31-075,4,1,126.0,1.4,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.3,1.3,0.0,1.3,0.94,0.03,0.96,0.94,0.96
246,Kaan Ayhan,tr TUR,DF,27-294,2,1,91.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01,0.0,0.01,0.01,0.01
