,Unnamed: 0_level_0,Unnamed: 1_level_0,Home,Home,Home,Home,Home,Home,Home,Home,Home,Home,Home,Home,Home,Away,Away,Away,Away,Away,Away,Away,Away,Away,Away,Away,Away,Away
,Rk,Squad,MP,W,D,L,GF,GA,GD,Pts,Pts/MP,xG,xGA,xGD,xGD/90,MP,W,D,L,GF,GA,GD,Pts,Pts/MP,xG,xGA,xGD,xGD/90
0,1,Paris S-G,19,16,3,0,49,12,37,51,2.68,41.1,17.7,23.4,1.23,19,10,5,4,41,24,17,35,1.84,35.4,20.9,14.5,0.76
1,2,Marseille,19,9,5,5,33,22,11,32,1.68,33.9,20.8,13.1,0.69,19,12,3,4,30,16,14,39,2.05,25.3,19.2,6.0,0.32
2,3,Monaco,19,12,4,3,38,16,22,40,2.11,32.1,17.9,14.2,0.75,19,8,5,6,27,24,3,29,1.53,25.8,24.0,1.8,0.09
3,4,Rennes,19,14,1,4,50,13,37,43,2.26,36.8,15.4,21.4,1.13,19,6,5,8,32,27,5,23,1.21,25.4,25.3,0.2,0.01
4,5,Nice,19,10,4,5,27,21,6,34,1.79,31.3,20.9,10.4,0.55,19,10,3,6,25,15,10,33,1.74,25.7,24.3,1.4,0.08
5,6,Strasbourg,19,11,5,3,36,18,18,38,2.0,32.8,18.9,14.0,0.74,19,6,7,6,24,25,-1,25,1.32,26.5,23.7,2.8,0.15
6,7,Lens,19,9,7,3,35,20,15,34,1.79,29.6,20.2,9.4,0.49,19,8,4,7,27,28,-1,28,1.47,23.2,22.2,1.0,0.05
7,8,Lyon,19,11,5,3,42,25,17,38,2.0,39.2,21.5,17.7,0.93,19,6,6,7,24,26,-2,24,1.26,31.2,33.0,-1.9,-0.1
8,9,Nantes,19,11,4,4,33,20,13,37,1.95,26.5,28.1,-1.6,-0.08,19,4,6,9,22,28,-6,18,0.95,17.4,27.3,-9.9,-0.52
9,10,Lille,19,7,8,4,24,22,2,29,1.53,28.1,17.6,10.5,0.55,19,7,5,7,24,26,-2,26,1.37,24.3,22.8,1.5,0.08
10,11,Brest,19,7,4,8,28,29,-1,25,1.32,23.4,26.9,-3.5,-0.19,19,6,5,8,21,28,-7,23,1.21,21.9,32.3,-10.4,-0.55
11,12,Reims,19,5,6,8,25,23,2,21,1.11,18.7,21.4,-2.6,-0.14,19,6,7,6,18,21,-3,25,1.32,20.0,27.7,-7.8,-0.41
12,13,Montpellier,19,7,5,7,27,26,1,26,1.37,26.8,20.9,5.9,0.31,19,5,2,12,22,35,-13,17,0.89,17.0,37.8,-20.9,-1.1
13,14,Angers,19,8,2,9,23,23,0,26,1.37,25.5,22.2,3.3,0.17,19,2,9,8,21,32,-11,15,0.79,19.3,26.8,-7.5,-0.39
14,15,Troyes,19,5,7,7,19,19,0,22,1.16,22.9,18.6,4.3,0.23,19,4,4,11,18,34,-16,16,0.84,16.6,32.3,-15.7,-0.83
15,16,Lorient,19,6,6,7,20,22,-2,24,1.26,23.7,24.4,-0.7,-0.04,19,2,6,11,15,41,-26,12,0.63,20.1,27.7,-7.6,-0.4
16,17,Clermont Foot,19,4,6,9,22,33,-11,18,0.95,23.3,24.2,-0.8,-0.04,19,5,3,11,16,36,-20,18,0.95,21.5,28.9,-7.3,-0.39
17,18,Saint-Étienne,19,4,6,9,24,38,-14,18,0.95,24.8,29.7,-5.0,-0.26,19,3,5,11,18,39,-21,14,0.74,16.2,31.5,-15.3,-0.8
18,19,Metz,19,3,7,9,21,31,-10,16,0.84,14.9,29.6,-14.6,-0.77,19,3,6,10,14,38,-24,15,0.79,15.3,34.2,-18.9,-1.0
19,20,Bordeaux,19,3,7,9,25,33,-8,16,0.84,23.3,32.8,-9.5,-0.5,19,3,6,10,27,58,-31,15,0.79,21.4,36.9,-15.4,-0.81
