,Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Playing Time,Playing Time,Playing Time,Playing Time,Playing Time,Starts,Starts,Starts,Subs,Subs,Subs,Team Success,Team Success,Team Success,Team Success,Team Success,Team Success (xG),Team Success (xG),Team Success (xG),Team Success (xG)
,Squad,# Pl,Age,MP,Min,Mn/MP,Min%,90s,Starts,Mn/Start,Compl,Subs,Mn/Sub,unSub,PPM,onG,onGA,+/-,+/-90,onxG,onxGA,xG+/-,xG+/-90
0,vs Angers,30,25.8,38,3420,90,100,38.0,418,84,260,154,16,175,1.63,,,,,49.0,44.8,4.2,0.11
1,vs Bordeaux,39,26.0,38,3420,90,100,38.0,418,81,233,182,19,177,1.84,,,,,69.6,44.8,24.9,0.65
2,vs Brest,25,25.9,38,3420,90,100,38.0,418,83,270,146,19,163,1.5,,,,,59.2,45.2,13.9,0.37
3,vs Clermont Foot,28,25.7,38,3420,90,100,38.0,418,82,253,159,19,177,1.82,,,,,53.0,44.9,8.2,0.21
4,vs Lens,28,25.9,38,3420,90,100,38.0,418,83,246,170,16,184,1.08,,,,,42.4,52.8,-10.4,-0.27
5,vs Lille,26,25.8,38,3420,90,100,38.0,418,83,269,145,18,181,1.21,,,,,40.4,52.4,-12.1,-0.32
6,vs Lorient,29,26.0,38,3420,90,100,38.0,418,83,263,153,17,176,1.74,,,,,52.1,43.8,8.3,0.22
7,vs Lyon,30,26.0,38,3420,90,100,38.0,418,82,275,139,22,178,1.08,,,,,54.5,70.4,-15.9,-0.42
8,vs Marseille,27,25.8,38,3420,90,100,38.0,418,84,273,144,17,179,0.92,,,,,40.0,59.2,-19.1,-0.5
9,vs Metz,36,26.1,38,3420,90,100,38.0,418,81,269,146,25,175,1.84,,,,,63.8,30.2,33.6,0.88
10,vs Monaco,27,25.9,38,3420,90,100,38.0,418,81,246,168,21,179,0.95,,,,,42.0,58.0,-16.0,-0.42
11,vs Montpellier,26,26.0,38,3420,90,100,38.0,418,83,248,162,16,167,1.68,,,,,58.7,43.7,15.0,0.39
12,vs Nantes,26,25.8,38,3420,90,100,38.0,418,83,256,159,17,187,1.29,,,,,55.4,43.9,11.5,0.3
13,vs Nice,27,26.0,38,3420,90,100,38.0,418,81,245,169,20,191,1.05,,,,,45.2,57.0,-11.8,-0.31
14,vs Paris S-G,36,25.7,38,3420,90,100,38.0,418,85,276,140,15,178,0.53,,,,,38.6,76.5,-37.9,-1.0
15,vs Reims,35,25.9,38,3420,90,100,38.0,418,79,247,168,27,181,1.45,,,,,49.1,38.7,10.4,0.27
16,vs Rennes,28,25.8,38,3420,90,100,38.0,418,84,249,168,15,180,1.11,,,,,40.7,62.3,-21.6,-0.57
17,vs Saint-Étienne,39,26.1,38,3420,90,100,38.0,418,79,229,185,23,172,1.87,,,,,61.2,41.0,20.2,0.53
18,vs Strasbourg,26,25.9,38,3420,90,100,38.0,418,84,270,145,18,174,1.03,,,,,42.6,59.3,-16.8,-0.44
19,vs Troyes,35,25.9,38,3420,90,100,38.0,418,82,253,164,20,182,1.71,,,,,50.9,39.4,11.4,0.3
