,Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Total,Total,Total,Total,Total,Short,Short,Short,Medium,Medium,Medium,Long,Long,Long,Unnamed: 17_level_0,Unnamed: 18_level_0,Unnamed: 19_level_0,Unnamed: 20_level_0,Unnamed: 21_level_0,Unnamed: 22_level_0,Unnamed: 23_level_0,Unnamed: 24_level_0
,Squad,# Pl,90s,Cmp,Att,Cmp%,TotDist,PrgDist,Cmp,Att,Cmp%,Cmp,Att,Cmp%,Cmp,Att,Cmp%,Ast,xA,A-xA,KP,1/3,PPA,CrsPA,Prog
0,vs Angers,30,38.0,16537,20074,82.4,325570,101500,6733,7541,89.3,6958,7923,87.8,2541,3878,65.5,36,36.1,-0.1,321,1197,282,87,1204
1,vs Bordeaux,39,38.0,15678,19323,81.1,299857,99795,6594,7450,88.5,6607,7612,86.8,2184,3555,61.4,65,47.7,17.3,380,1110,297,79,1374
2,vs Brest,25,38.0,17821,21418,83.2,344558,110363,6883,7753,88.8,8151,9097,89.6,2471,3824,64.6,41,43.9,-2.9,383,1211,325,91,1505
3,vs Clermont Foot,28,38.0,16128,19546,82.5,319651,100297,6200,6952,89.2,7222,8154,88.6,2422,3746,64.7,44,38.7,5.3,342,1103,295,88,1215
4,vs Lens,28,38.0,16042,19538,82.1,307883,96993,6531,7292,89.6,6949,7881,88.2,2259,3684,61.3,31,28.7,2.3,298,973,251,70,1152
5,vs Lille,26,38.0,14713,18317,80.3,286175,94989,5943,6720,88.4,6387,7362,86.8,2087,3513,59.4,24,23.3,0.7,312,1001,264,67,1178
6,vs Lorient,29,38.0,17573,21113,83.2,339821,110036,7280,8149,89.3,7424,8393,88.5,2563,3821,67.1,39,33.9,5.1,341,1206,314,96,1361
7,vs Lyon,30,38.0,13149,16640,79.0,252101,91964,5588,6392,87.4,5328,6290,84.7,1909,3168,60.3,30,37.1,-7.1,327,905,262,78,1041
8,vs Marseille,27,38.0,12332,15341,80.4,238795,80182,5141,5806,88.5,5152,5901,87.3,1799,3076,58.5,27,27.1,-0.1,240,814,204,62,896
9,vs Metz,36,38.0,17219,20894,82.4,336261,112293,6798,7698,88.3,7448,8454,88.1,2648,3950,67.0,50,45.5,4.5,417,1254,356,83,1565
10,vs Monaco,27,38.0,13983,17693,79.0,274527,95335,5742,6581,87.3,5840,6827,85.5,2143,3628,59.1,25,26.9,-1.9,302,850,242,79,1033
11,vs Montpellier,26,38.0,15731,19273,81.6,303067,103396,6515,7355,88.6,6574,7559,87.0,2290,3631,63.1,41,42.5,-1.5,456,1196,349,94,1320
12,vs Nantes,26,38.0,17639,21293,82.8,332993,110445,7336,8174,89.7,7540,8580,87.9,2350,3687,63.7,34,34.9,-0.9,328,1191,338,79,1417
13,vs Nice,27,38.0,15265,18834,81.1,307279,97671,5751,6569,87.5,6836,7732,88.4,2414,3869,62.4,24,30.1,-6.1,302,1071,283,79,1192
14,vs Paris S-G,36,38.0,13030,15772,82.6,244803,81002,5916,6515,90.8,5033,5759,87.4,1795,2893,62.0,25,27.0,-2.0,310,834,209,71,820
15,vs Reims,35,38.0,18073,21793,82.9,355686,106442,7160,8040,89.1,7876,8878,88.7,2708,4075,66.5,26,31.0,-5.0,361,1293,333,90,1353
16,vs Rennes,28,38.0,13209,16751,78.9,262486,85015,5377,6107,88.0,5490,6431,85.4,2066,3536,58.4,27,27.4,-0.4,253,935,228,81,900
17,vs Saint-Étienne,39,38.0,15254,19019,80.2,293970,101930,6315,7199,87.7,6460,7520,85.9,2188,3573,61.2,57,43.4,13.6,329,1062,270,82,1234
18,vs Strasbourg,26,38.0,15673,19261,81.4,312073,96598,6087,6899,88.2,6787,7735,87.7,2525,3920,64.4,31,29.7,1.3,303,1007,234,74,1052
19,vs Troyes,35,38.0,17749,21221,83.6,354937,107728,6574,7373,89.2,8079,9016,89.6,2787,4089,68.2,30,34.4,-4.4,338,1313,336,87,1490
