,Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Expected,Expected,Expected,Expected,Expected
,Squad,# Pl,90s,Gls,Sh,SoT,SoT%,Sh/90,SoT/90,G/Sh,G/SoT,Dist,FK,PK,PKatt,xG,npxG,npxG/Sh,G-xG,np:G-xG
0,vs Angers,30,38.0,52,427,150,35.1,11.24,3.95,0.11,0.31,17.3,21,5,5,49.0,45.3,0.11,3.0,1.7
1,vs Bordeaux,39,38.0,88,515,185,35.9,13.55,4.87,0.16,0.44,17.4,20,7,9,69.6,62.8,0.12,18.4,18.2
2,vs Brest,25,38.0,55,499,169,33.9,13.13,4.45,0.1,0.3,16.8,17,4,4,59.2,56.1,0.12,-4.2,-5.1
3,vs Clermont Foot,28,38.0,66,439,160,36.4,11.55,4.21,0.14,0.38,16.2,10,5,5,53.0,49.4,0.12,13.0,11.6
4,vs Lens,28,38.0,48,409,136,33.3,10.76,3.58,0.11,0.32,18.3,16,4,5,42.4,38.6,0.1,5.6,5.4
5,vs Lille,26,38.0,46,446,150,33.6,11.74,3.95,0.09,0.27,18.3,19,6,6,40.4,36.1,0.08,5.6,3.9
6,vs Lorient,29,38.0,60,462,145,31.4,12.16,3.82,0.12,0.38,17.1,17,5,6,52.1,47.5,0.1,7.9,7.5
7,vs Lyon,30,38.0,48,460,167,36.3,12.11,4.39,0.09,0.25,17.2,14,7,8,54.5,48.4,0.11,-6.5,-7.4
8,vs Marseille,27,38.0,37,329,107,32.5,8.66,2.82,0.1,0.31,17.5,16,4,4,40.0,37.0,0.12,-3.0,-4.0
9,vs Metz,36,38.0,67,562,173,30.8,14.79,4.55,0.11,0.36,16.9,18,5,5,63.8,60.0,0.11,3.2,2.0
10,vs Monaco,27,38.0,37,411,135,32.8,10.82,3.55,0.07,0.21,18.3,16,8,9,42.0,35.2,0.09,-5.0,-6.2
11,vs Montpellier,26,38.0,60,598,206,34.4,15.74,5.42,0.09,0.27,18.1,19,5,6,58.7,54.2,0.09,1.3,0.8
12,vs Nantes,26,38.0,47,471,150,31.8,12.39,3.95,0.09,0.29,16.9,21,4,7,55.4,50.2,0.11,-8.4,-7.2
13,vs Nice,27,38.0,36,430,143,33.3,11.32,3.76,0.07,0.22,17.5,15,4,5,45.2,41.4,0.1,-9.2,-9.4
14,vs Paris S-G,36,38.0,35,410,139,33.9,10.79,3.66,0.08,0.23,18.6,12,3,3,38.6,36.3,0.09,-3.6,-4.3
15,vs Reims,35,38.0,44,511,152,29.7,13.45,4.0,0.08,0.26,18.1,22,5,7,49.1,43.7,0.09,-5.1,-4.7
16,vs Rennes,28,38.0,39,353,97,27.5,9.29,2.55,0.1,0.35,16.9,15,5,6,40.7,36.2,0.11,-1.7,-2.2
17,vs Saint-Étienne,39,38.0,73,455,181,39.8,11.97,4.76,0.14,0.36,16.3,21,8,8,61.2,55.2,0.12,11.8,9.8
18,vs Strasbourg,26,38.0,42,410,126,30.7,10.79,3.32,0.09,0.3,17.5,17,4,4,42.6,39.5,0.1,-0.6,-1.5
19,vs Troyes,35,38.0,51,453,149,32.9,11.92,3.92,0.09,0.28,17.6,22,10,10,50.9,43.4,0.1,0.1,-2.4
