,Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Goals,Goals,Goals,Goals,Goals,Expected,Expected,Expected,Expected,Launched,Launched,Launched,Passes,Passes,Passes,Passes,Goal Kicks,Goal Kicks,Goal Kicks,Crosses,Crosses,Crosses,Sweeper,Sweeper,Sweeper
,Squad,# Pl,90s,GA,PKA,FK,CK,OG,PSxG,PSxG/SoT,PSxG+/-,/90,Cmp,Att,Cmp%,Att,Thr,Launch%,AvgLen,Att,Launch%,AvgLen,Opp,Stp,Stp%,#OPA,#OPA/90,AvgDist
0,vs Angers,3,38.0,44,9,0,6,3,44.5,0.31,0.5,0.01,217,502,43.2,885,156,40.5,36.6,253,56.9,44.8,263,19,7.2,23,0.61,13.7
1,vs Bordeaux,2,38.0,52,2,0,9,2,42.8,0.27,-9.2,-0.24,165,442,37.3,832,187,37.6,36.2,265,48.7,42.4,269,20,7.4,20,0.53,14.1
2,vs Brest,1,38.0,49,7,1,7,1,47.5,0.3,-1.5,-0.04,152,357,42.6,842,204,28.4,31.9,266,44.4,39.8,339,23,6.8,30,0.79,15.3
3,vs Clermont Foot,2,38.0,38,2,0,5,2,38.4,0.27,0.4,0.01,183,454,40.3,908,183,34.1,33.9,289,49.8,40.5,341,25,7.3,32,0.84,15.4
4,vs Lens,2,38.0,62,5,2,9,2,55.7,0.28,-6.3,-0.16,212,562,37.7,978,193,39.4,36.4,287,61.7,48.4,308,26,8.4,34,0.89,15.0
5,vs Lille,2,38.0,48,4,0,6,3,48.6,0.3,0.6,0.02,222,598,37.1,857,161,45.3,39.0,296,70.9,52.0,294,24,8.2,26,0.68,15.2
6,vs Lorient,2,38.0,35,3,1,3,1,33.5,0.22,-1.5,-0.04,209,431,48.5,890,186,32.6,33.5,273,51.6,42.4,295,16,5.4,39,1.03,15.7
7,vs Lyon,2,38.0,66,8,1,8,1,63.9,0.3,-2.1,-0.05,243,580,41.9,913,164,44.6,37.8,282,61.3,46.5,278,17,6.1,25,0.66,14.5
8,vs Marseille,2,38.0,59,10,2,11,1,55.8,0.3,-3.2,-0.08,172,457,37.6,693,139,43.4,38.0,316,49.4,42.3,292,22,7.5,20,0.53,14.6
9,vs Metz,2,38.0,35,1,2,8,2,32.2,0.28,-2.8,-0.07,148,339,43.7,934,203,27.2,31.8,229,37.1,37.0,308,25,8.1,35,0.92,15.8
10,vs Monaco,1,38.0,65,9,1,3,3,57.8,0.33,-7.2,-0.19,231,654,35.3,986,228,44.9,38.9,305,69.2,51.3,365,26,7.1,36,0.95,14.5
11,vs Montpellier,2,38.0,49,3,3,7,1,45.7,0.28,-3.3,-0.09,227,540,42.0,869,193,41.3,37.8,276,65.6,50.0,365,33,9.0,35,0.92,15.4
12,vs Nantes,1,38.0,55,5,3,7,2,44.5,0.28,-10.5,-0.28,200,529,37.8,986,160,37.6,35.1,267,59.2,45.5,321,12,3.7,37,0.98,16.3
13,vs Nice,2,38.0,52,8,2,5,0,45.1,0.27,-6.9,-0.18,218,547,39.9,845,162,40.4,37.7,321,64.2,49.0,390,34,8.7,24,0.63,15.0
14,vs Paris S-G,4,38.0,90,7,0,11,3,74.9,0.34,-15.1,-0.4,211,470,44.9,710,141,43.2,38.0,315,51.7,42.5,240,13,5.4,12,0.32,12.7
15,vs Reims,1,38.0,43,4,0,5,1,35.9,0.23,-7.1,-0.19,210,477,44.0,1015,198,35.1,34.5,261,46.4,39.6,299,26,8.7,38,1.0,14.9
16,vs Rennes,3,38.0,82,4,1,14,1,67.5,0.34,-14.5,-0.38,243,622,39.1,875,155,46.4,39.3,336,64.3,49.2,319,21,6.6,17,0.45,13.8
17,vs Saint-Étienne,3,38.0,40,5,1,11,1,37.3,0.23,-2.7,-0.07,230,582,39.5,851,180,45.6,38.7,305,63.6,48.2,316,24,7.6,25,0.66,14.1
18,vs Strasbourg,2,38.0,60,6,1,6,4,51.8,0.31,-8.2,-0.22,244,667,36.6,1081,194,41.8,38.7,308,69.8,52.0,423,20,4.7,28,0.74,13.8
19,vs Troyes,2,38.0,37,6,0,7,2,38.0,0.27,1.0,0.03,155,346,44.8,873,176,28.6,32.7,245,39.2,36.3,346,39,11.3,39,1.03,15.6
