,Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Playing Time,Playing Time,Playing Time,Playing Time,Playing Time,Starts,Starts,Starts,Subs,Subs,Subs,Team Success,Team Success,Team Success,Team Success,Team Success,Team Success (xG),Team Success (xG),Team Success (xG),Team Success (xG)
,Squad,# Pl,Age,MP,Min,Mn/MP,Min%,90s,Starts,Mn/Start,Compl,Subs,Mn/Sub,unSub,PPM,onG,onGA,+/-,+/-90,onxG,onxGA,xG+/-,xG+/-90
0,vs Arsenal,18,27.2,4,360,90,100,4.0,44,87,29,15,10,21,0.0,,,,,2.9,7.8,-4.8,-1.21
1,vs Aston Villa,18,26.8,4,360,90,100,4.0,44,84,28,16,16,21,2.25,,,,,5.4,4.1,1.4,0.34
2,vs Bournemouth,20,26.8,4,360,90,100,4.0,44,83,30,15,21,17,2.25,,,,,7.4,1.3,6.1,1.53
3,vs Brentford,21,27.0,4,360,90,100,4.0,44,82,25,19,19,23,1.25,,,,,4.7,6.5,-1.8,-0.45
4,vs Brighton,18,27.3,4,360,90,100,4.0,44,86,29,15,13,20,0.25,,,,,4.0,6.1,-2.1,-0.53
5,vs Chelsea,19,26.5,4,360,90,100,4.0,44,82,25,17,16,21,1.0,,,,,5.2,5.6,-0.4,-0.1
6,vs Crystal Palace,18,26.5,4,360,90,100,4.0,44,84,26,18,16,22,1.75,,,,,6.4,5.6,0.8,0.2
7,vs Everton,19,26.9,4,360,90,100,4.0,44,82,31,13,26,18,2.0,,,,,7.1,5.2,1.8,0.46
8,vs Fulham,20,26.3,4,360,90,100,4.0,44,87,29,15,8,22,1.25,,,,,6.5,5.5,1.0,0.25
9,vs Leeds United,18,26.0,4,360,90,100,4.0,44,83,28,17,17,22,1.0,,,,,4.9,6.0,-1.1,-0.27
10,vs Leicester City,17,25.4,4,360,90,100,4.0,44,85,34,10,24,20,2.5,,,,,5.6,3.2,2.4,0.6
11,vs Liverpool,20,26.9,4,360,90,100,4.0,44,80,27,16,25,18,1.25,,,,,4.9,8.6,-3.7,-0.92
12,vs Manchester City,19,27.4,4,360,90,100,4.0,44,83,29,15,20,19,0.25,,,,,2.4,9.1,-6.7,-1.68
13,vs Manchester Utd,20,26.7,4,360,90,100,4.0,44,82,26,18,19,20,1.5,,,,,6.4,5.2,1.2,0.3
14,vs Newcastle Utd,19,27.2,4,360,90,100,4.0,44,86,27,17,10,26,0.75,,,,,4.9,6.0,-1.0,-0.26
15,vs Nott'ham Forest,21,27.6,4,360,90,100,4.0,44,85,30,14,17,21,1.75,,,,,8.7,3.8,4.9,1.23
16,vs Southampton,21,26.7,4,360,90,100,4.0,44,83,28,16,19,21,1.75,,,,,4.9,3.9,1.1,0.26
17,vs Tottenham,19,26.2,4,360,90,100,4.0,44,86,28,16,12,17,0.25,,,,,3.8,6.9,-3.1,-0.78
18,vs West Ham,19,26.9,4,360,90,100,4.0,44,81,29,15,27,21,2.25,,,,,5.8,3.6,2.2,0.56
19,vs Wolves,18,27.2,4,360,90,100,4.0,44,86,32,12,16,20,2.0,,,,,5.4,3.5,1.8,0.46
