,Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Playing Time,Playing Time,Playing Time,Playing Time,Playing Time,Starts,Starts,Starts,Subs,Subs,Subs,Team Success,Team Success,Team Success,Team Success,Team Success,Team Success (xG),Team Success (xG),Team Success (xG),Team Success (xG)
,Squad,# Pl,Age,MP,Min,Mn/MP,Min%,90s,Starts,Mn/Start,Compl,Subs,Mn/Sub,unSub,PPM,onG,onGA,+/-,+/-90,onxG,onxGA,xG+/-,xG+/-90
0,vs Augsburg,20,26.7,4,360,90,100,4.0,44,81,24,20,20,16,2.25,,,,,7.3,2.1,5.2,1.29
1,vs Bayern Munich,19,27.0,4,360,90,100,4.0,44,82,28,16,22,17,0.25,,,,,3.7,12.4,-8.8,-2.19
2,vs Bochum,18,27.0,4,360,90,100,4.0,44,84,27,17,15,17,3.0,,,,,10.9,4.2,6.6,1.65
3,vs Dortmund,20,26.8,4,360,90,100,4.0,44,80,27,17,26,19,0.75,,,,,3.8,6.6,-2.7,-0.68
4,vs Eint Frankfurt,20,26.4,4,360,90,100,4.0,44,80,24,20,22,17,1.25,,,,,7.5,5.1,2.5,0.61
5,vs Freiburg,19,27.3,4,360,90,100,4.0,44,85,26,18,13,19,0.75,,,,,4.1,7.0,-2.9,-0.72
6,vs Hertha BSC,21,27.0,4,360,90,100,4.0,44,81,26,17,22,19,2.5,,,,,8.6,3.8,4.8,1.21
7,vs Hoffenheim,20,27.3,4,360,90,100,4.0,44,78,23,20,23,18,0.75,,,,,5.2,5.5,-0.3,-0.08
8,vs Köln,21,26.1,4,360,90,100,4.0,44,78,24,20,27,17,0.75,,,,,3.6,5.6,-2.0,-0.51
9,vs Leverkusen,22,26.8,4,360,90,100,4.0,44,79,21,20,24,17,2.25,,,,,4.6,6.5,-1.9,-0.48
10,vs M'Gladbach,17,26.8,4,360,90,100,4.0,44,88,33,11,8,19,0.5,,,,,6.4,6.6,-0.1,-0.03
11,vs Mainz 05,19,27.4,4,360,90,100,4.0,44,81,26,18,21,17,1.0,,,,,3.1,5.2,-2.1,-0.51
12,vs RB Leipzig,21,26.0,4,360,90,100,4.0,44,80,26,17,23,16,1.25,,,,,3.0,6.8,-3.8,-0.95
13,vs Schalke 04,20,26.6,4,360,90,100,4.0,44,80,24,19,20,20,2.0,,,,,7.9,4.9,3.0,0.76
14,vs Stuttgart,20,26.8,4,360,90,100,4.0,44,83,25,18,16,16,1.5,,,,,3.9,5.3,-1.4,-0.36
15,vs Union Berlin,20,27.2,4,360,90,100,4.0,44,82,24,20,17,18,0.25,,,,,3.9,3.1,0.8,0.19
16,vs Werder Bremen,19,25.5,4,360,90,100,4.0,44,81,25,19,20,16,1.25,,,,,4.4,4.3,0.1,0.01
17,vs Wolfsburg,21,27.2,4,360,90,100,4.0,44,77,25,19,29,17,2.0,,,,,6.8,3.7,3.1,0.78
