,Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Goals,Goals,Goals,Goals,Goals,Expected,Expected,Expected,Expected,Launched,Launched,Launched,Passes,Passes,Passes,Passes,Goal Kicks,Goal Kicks,Goal Kicks,Crosses,Crosses,Crosses,Sweeper,Sweeper,Sweeper
,Squad,# Pl,90s,GA,PKA,FK,CK,OG,PSxG,PSxG/SoT,PSxG+/-,/90,Cmp,Att,Cmp%,Att,Thr,Launch%,AvgLen,Att,Launch%,AvgLen,Opp,Stp,Stp%,#OPA,#OPA/90,AvgDist
0,vs Augsburg,1,4.0,3,0,0,0,0,1.6,0.18,-1.4,-0.35,32,75,42.7,133,20,51.1,44.0,17,41.2,41.7,17,5,29.4,5,1.25,17.0
1,vs Bayern Munich,1,4.0,16,1,1,2,1,14.3,0.28,-1.7,-0.44,52,98,53.1,120,10,65.8,49.8,33,57.6,51.6,33,2,6.1,5,1.25,17.4
2,vs Bochum,1,4.0,3,0,0,0,0,4.8,0.24,1.8,0.44,20,54,37.0,110,29,35.5,37.2,34,44.1,40.9,40,2,5.0,6,1.5,14.2
3,vs Dortmund,1,4.0,7,0,0,1,0,5.7,0.3,-1.3,-0.33,25,61,41.0,121,24,37.2,35.8,39,41.0,43.5,23,0,0.0,4,1.0,12.5
4,vs Eint Frankfurt,1,4.0,7,0,1,1,0,4.5,0.38,-2.5,-0.63,31,57,54.4,137,22,31.4,33.3,32,43.8,44.2,38,1,2.6,3,0.75,13.4
5,vs Freiburg,1,4.0,7,0,1,1,0,7.6,0.26,0.6,0.16,35,88,39.8,191,22,37.2,35.6,34,50.0,41.9,35,0,0.0,9,2.25,19.4
6,vs Hertha BSC,1,4.0,2,0,0,0,0,2.9,0.19,0.9,0.22,23,62,37.1,134,19,33.6,33.1,33,51.5,42.1,24,1,4.2,6,1.5,17.6
7,vs Hoffenheim,1,4.0,8,0,0,2,0,6.6,0.26,-1.4,-0.35,42,94,44.7,137,13,49.6,41.9,31,83.9,62.1,27,4,14.8,8,2.0,20.5
8,vs Köln,1,4.0,6,0,0,1,1,4.6,0.32,-1.4,-0.35,27,60,45.0,101,13,39.6,40.5,35,57.1,48.7,57,5,8.8,1,0.25,15.2
9,vs Leverkusen,2,4.0,4,0,0,1,0,6.5,0.31,2.5,0.62,36,76,47.4,112,16,46.4,39.8,33,72.7,57.5,41,3,7.3,3,0.75,16.2
10,vs M'Gladbach,1,4.0,7,1,0,3,0,8.1,0.28,1.1,0.28,16,47,34.0,125,17,30.4,34.2,15,60.0,51.7,26,2,7.7,3,0.75,16.3
11,vs Mainz 05,1,4.0,4,0,0,2,0,5.4,0.23,1.4,0.36,34,103,33.0,163,22,47.2,41.3,34,76.5,57.3,34,6,17.6,10,2.5,19.2
12,vs RB Leipzig,2,4.0,6,1,0,1,0,5.6,0.22,-0.4,-0.11,28,62,45.2,102,18,44.1,38.0,34,50.0,43.9,35,1,2.9,3,0.75,15.5
13,vs Schalke 04,1,4.0,4,2,0,0,0,4.6,0.18,0.6,0.15,30,62,48.4,174,18,31.6,33.7,21,33.3,41.6,39,4,10.3,5,1.25,16.8
14,vs Stuttgart,1,4.0,3,0,0,0,0,4.4,0.24,1.4,0.34,29,72,40.3,140,16,39.3,38.2,31,54.8,46.2,29,1,3.4,3,0.75,13.8
15,vs Union Berlin,1,4.0,11,0,0,2,0,5.8,0.31,-5.2,-1.29,18,42,42.9,100,24,27.0,32.2,26,57.7,53.2,39,3,7.7,3,0.75,14.4
16,vs Werder Bremen,1,4.0,10,1,0,1,0,5.7,0.28,-4.3,-1.08,20,59,33.9,107,23,43.0,37.2,28,46.4,41.3,37,0,0.0,3,0.75,14.2
17,vs Wolfsburg,1,4.0,2,0,0,1,0,2.4,0.16,0.4,0.09,34,82,41.5,120,19,51.7,41.2,35,57.1,53.7,36,1,2.8,1,0.25,14.7
