,Unnamed: 0_level_0,Unnamed: 1_level_0,Home,Home,Home,Home,Home,Home,Home,Home,Home,Home,Home,Home,Home,Away,Away,Away,Away,Away,Away,Away,Away,Away,Away,Away,Away,Away
,Rk,Squad,MP,W,D,L,GF,GA,GD,Pts,Pts/MP,xG,xGA,xGD,xGD/90,MP,W,D,L,GF,GA,GD,Pts,Pts/MP,xG,xGA,xGD,xGD/90
0,1,Bayern Munich,2,1,1,0,3,1,2,4,2.0,5.4,1.7,3.7,1.84,2,2,0,0,13,1,12,6,3.0,7.1,2.0,5.1,2.54
1,2,Union Berlin,2,2,0,0,5,2,3,6,3.0,1.4,1.3,0.1,0.05,2,1,1,0,6,1,5,4,2.0,1.7,2.5,-0.9,-0.44
2,3,Freiburg,2,1,0,1,2,3,-1,3,1.5,4.9,2.6,2.3,1.15,2,2,0,0,5,0,5,6,3.0,2.1,1.6,0.6,0.29
3,4,Hoffenheim,2,2,0,0,4,2,2,6,3.0,4.1,2.4,1.7,0.86,2,1,0,1,4,3,1,3,1.5,1.4,2.8,-1.4,-0.7
4,5,Dortmund,2,1,0,1,3,3,0,3,1.5,2.2,2.2,0.0,-0.02,2,2,0,0,4,1,3,6,3.0,4.4,1.6,2.8,1.39
5,6,M'Gladbach,2,2,0,0,4,1,3,6,3.0,4.4,1.3,3.1,1.53,2,0,2,0,3,3,0,2,1.0,2.2,5.1,-2.9,-1.46
6,7,Mainz 05,2,0,1,1,0,3,-3,1,0.5,2.0,2.1,-0.1,-0.04,2,2,0,0,4,2,2,6,3.0,3.2,1.0,2.1,1.06
7,8,Köln,2,1,1,0,3,1,2,4,2.0,4.3,2.3,1.9,0.97,2,0,2,0,3,3,0,2,1.0,1.4,1.3,0.1,0.05
8,9,RB Leipzig,2,1,1,0,4,2,2,4,2.0,4.0,1.6,2.3,1.17,2,0,1,1,2,3,-1,1,0.5,2.8,1.4,1.5,0.73
9,10,Werder Bremen,2,0,1,1,5,6,-1,1,0.5,2.6,2.8,-0.2,-0.08,2,1,1,0,5,4,1,4,2.0,1.7,1.6,0.1,0.06
10,11,Eint Frankfurt,2,0,1,1,2,7,-5,1,0.5,1.7,4.0,-2.3,-1.16,2,1,1,0,5,4,1,4,2.0,3.4,3.5,-0.1,-0.07
11,12,Stuttgart,2,0,1,1,1,2,-1,1,0.5,1.9,2.8,-0.9,-0.44,2,0,2,0,2,2,0,2,1.0,3.4,1.1,2.3,1.15
12,13,Leverkusen,2,0,0,2,1,5,-4,0,0.0,3.5,1.8,1.7,0.87,2,1,0,1,3,1,2,3,1.5,3.0,2.8,0.2,0.08
13,14,Augsburg,2,0,0,2,1,6,-5,0,0.0,0.9,3.1,-2.3,-1.13,2,1,0,1,2,2,0,3,1.5,1.3,4.2,-2.9,-1.46
14,15,Wolfsburg,2,0,2,0,2,2,0,2,1.0,2.2,1.9,0.3,0.15,2,0,0,2,0,4,-4,0,0.0,1.5,4.9,-3.4,-1.71
15,16,Schalke 04,2,0,1,1,3,8,-5,1,0.5,3.3,2.8,0.5,0.23,2,0,1,1,1,3,-2,1,0.5,1.6,5.1,-3.5,-1.75
16,17,Hertha BSC,2,0,1,1,1,2,-1,1,0.5,2.2,5.2,-3.0,-1.48,2,0,0,2,1,4,-3,0,0.0,1.6,3.4,-1.9,-0.94
17,18,Bochum,2,0,0,2,1,9,-8,0,0.0,1.4,4.5,-3.1,-1.54,2,0,0,2,2,4,-2,0,0.0,2.8,6.4,-3.5,-1.76
