,Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Playing Time,Playing Time,Playing Time,Playing Time,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Expected,Expected,Expected,Expected,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes
,Squad,# Pl,Age,Poss,MP,Starts,Min,90s,Gls,Ast,G-PK,PK,PKatt,CrdY,CrdR,Gls,Ast,G+A,G-PK,G+A-PK,xG,npxG,xA,npxG+xA,xG,xA,xG+xA,npxG,npxG+xA
0,vs Augsburg,20,26.7,53.3,4,44,360,4.0,8,5,8,0,1,4,0,2.0,1.25,3.25,2.0,3.25,7.3,6.5,5.1,11.6,1.82,1.26,3.09,1.63,2.89
1,vs Bayern Munich,19,27.0,33.8,4,44,360,4.0,2,0,2,0,0,6,0,0.5,0.0,0.5,0.5,0.5,3.7,3.7,2.3,6.0,0.92,0.58,1.5,0.92,1.5
2,vs Bochum,18,27.0,52.5,4,44,360,4.0,12,8,11,1,3,6,0,3.0,2.0,5.0,2.75,4.75,10.9,8.4,3.9,12.3,2.71,0.98,3.69,2.09,3.07
3,vs Dortmund,20,26.8,46.0,4,44,360,4.0,4,3,4,0,0,7,1,1.0,0.75,1.75,1.0,1.75,3.8,3.8,3.5,7.3,0.95,0.88,1.83,0.95,1.83
4,vs Eint Frankfurt,20,26.4,50.8,4,44,360,4.0,11,6,10,1,1,5,0,2.75,1.5,4.25,2.5,4.0,7.5,6.7,5.4,12.2,1.88,1.36,3.24,1.68,3.04
5,vs Freiburg,19,27.3,57.0,4,44,360,4.0,3,2,3,0,0,9,0,0.75,0.5,1.25,0.75,1.25,4.1,4.1,3.2,7.3,1.03,0.8,1.83,1.03,1.83
6,vs Hertha BSC,21,27.0,58.5,4,44,360,4.0,6,5,5,1,2,4,0,1.5,1.25,2.75,1.25,2.5,8.6,7.0,5.8,12.8,2.15,1.44,3.6,1.76,3.2
7,vs Hoffenheim,20,27.3,52.0,4,44,360,4.0,5,5,5,0,0,4,0,1.25,1.25,2.5,1.25,2.5,5.2,5.2,4.7,9.9,1.3,1.17,2.47,1.3,2.47
8,vs Köln,21,26.1,41.5,4,44,360,4.0,4,3,4,0,0,4,3,1.0,0.75,1.75,1.0,1.75,3.6,3.6,3.2,6.8,0.9,0.8,1.7,0.9,1.7
9,vs Leverkusen,22,26.8,45.8,4,44,360,4.0,6,3,6,0,0,13,0,1.5,0.75,2.25,1.5,2.25,4.6,4.6,2.1,6.8,1.15,0.53,1.69,1.15,1.69
10,vs M'Gladbach,17,26.8,43.8,4,44,360,4.0,4,3,3,1,1,14,2,1.0,0.75,1.75,0.75,1.5,6.4,5.6,4.8,10.5,1.61,1.2,2.81,1.41,2.62
11,vs Mainz 05,19,27.4,50.0,4,44,360,4.0,5,3,5,0,0,10,2,1.25,0.75,2.0,1.25,2.0,3.1,3.1,2.2,5.4,0.79,0.55,1.34,0.79,1.34
12,vs RB Leipzig,21,26.0,41.0,4,44,360,4.0,4,4,4,0,0,11,0,1.0,1.0,2.0,1.0,2.0,3.0,3.0,2.7,5.7,0.76,0.68,1.44,0.76,1.44
13,vs Schalke 04,20,26.6,64.0,4,44,360,4.0,11,7,11,0,0,3,0,2.75,1.75,4.5,2.75,4.5,7.9,7.9,5.7,13.7,1.98,1.44,3.41,1.98,3.41
14,vs Stuttgart,20,26.8,57.0,4,44,360,4.0,4,4,4,0,0,9,0,1.0,1.0,2.0,1.0,2.0,3.9,3.9,3.5,7.4,0.97,0.88,1.85,0.97,1.85
15,vs Union Berlin,20,27.2,58.5,4,44,360,4.0,3,2,2,1,1,6,0,0.75,0.5,1.25,0.5,1.0,3.9,3.1,2.2,5.3,0.97,0.55,1.51,0.77,1.32
16,vs Werder Bremen,19,25.5,49.5,4,44,360,4.0,10,8,10,0,0,10,0,2.5,2.0,4.5,2.5,4.5,4.4,4.4,4.0,8.3,1.09,0.99,2.09,1.09,2.09
17,vs Wolfsburg,21,27.2,44.3,4,44,360,4.0,6,3,5,1,2,10,0,1.5,0.75,2.25,1.25,2.0,6.8,5.2,2.5,7.7,1.7,0.62,2.32,1.3,1.93
