,Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Tackles,Tackles,Tackles,Tackles,Tackles,Vs Dribbles,Vs Dribbles,Vs Dribbles,Vs Dribbles,Pressures,Pressures,Pressures,Pressures,Pressures,Pressures,Blocks,Blocks,Blocks,Blocks,Unnamed: 22_level_0,Unnamed: 23_level_0,Unnamed: 24_level_0,Unnamed: 25_level_0
,Squad,# Pl,90s,Tkl,TklW,Def 3rd,Mid 3rd,Att 3rd,Tkl,Att,Tkl%,Past,Press,Succ,%,Def 3rd,Mid 3rd,Att 3rd,Blocks,Sh,ShSv,Pass,Int,Tkl+Int,Clr,Err
0,vs Ajaccio,21,4.0,57,36,26,24,7,18,52,34.6,34,399,133,33.3,112,191,96,60,13,0,47,44,101,97,1
1,vs Angers,21,4.0,85,48,46,31,8,39,89,43.8,50,498,156,31.3,186,230,82,47,10,1,37,50,135,80,1
2,vs Auxerre,20,4.0,50,36,21,20,9,16,46,34.8,30,377,116,30.8,85,173,119,41,6,0,35,26,76,59,0
3,vs Brest,21,4.0,66,46,31,27,8,23,53,43.4,30,460,147,32.0,137,210,113,57,10,0,47,46,112,86,0
4,vs Clermont Foot,20,4.0,65,44,26,26,13,29,63,46.0,34,482,135,28.0,147,207,128,52,10,0,42,60,125,47,0
5,vs Lens,16,4.0,47,29,22,19,6,9,36,25.0,27,524,116,22.1,117,290,117,48,14,0,34,55,102,70,1
6,vs Lille,20,4.0,69,46,42,17,10,28,71,39.4,43,617,160,25.9,216,260,141,63,18,0,45,60,129,57,0
7,vs Lorient,17,3.0,59,36,17,24,18,22,59,37.3,37,392,119,30.4,104,161,127,36,16,0,20,36,95,41,1
8,vs Lyon,20,3.0,62,41,30,21,11,24,53,45.3,29,504,129,25.6,190,234,80,42,8,0,34,57,119,67,1
9,vs Marseille,22,4.0,65,44,31,21,13,18,48,37.5,30,565,170,30.1,166,262,137,65,16,0,49,74,139,74,0
10,vs Monaco,23,4.0,64,39,35,23,6,28,56,50.0,28,491,135,27.5,164,224,103,44,9,0,35,51,115,45,2
11,vs Montpellier,21,4.0,59,39,29,19,11,19,60,31.7,41,436,134,30.7,126,186,124,51,14,0,37,57,116,56,0
12,vs Nantes,17,4.0,75,49,34,34,7,31,66,47.0,35,421,134,31.8,146,186,89,53,16,1,37,42,117,87,0
13,vs Nice,21,4.0,73,39,37,25,11,20,63,31.7,43,577,157,27.2,185,256,136,68,16,0,52,67,140,83,1
14,vs Paris S-G,19,4.0,75,44,44,24,7,31,85,36.5,54,535,119,22.2,181,242,112,58,9,0,49,71,146,45,0
15,vs Reims,19,4.0,74,47,28,34,12,26,57,45.6,31,436,155,35.6,128,189,119,39,8,1,31,51,125,54,2
16,vs Rennes,21,4.0,66,42,39,22,5,23,67,34.3,44,514,151,29.4,197,233,84,66,24,0,42,58,124,79,0
17,vs Strasbourg,20,4.0,66,42,26,33,7,17,44,38.6,27,552,155,28.1,166,246,140,46,9,0,37,69,135,102,0
18,vs Toulouse,20,4.0,79,48,44,27,8,27,50,54.0,23,441,142,32.2,162,181,98,57,11,0,46,62,141,58,2
19,vs Troyes,19,4.0,78,55,27,33,18,36,80,45.0,44,464,134,28.9,130,200,134,41,11,0,30,40,118,48,2
