,Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Playing Time,Playing Time,Playing Time,Playing Time,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Expected,Expected,Expected,Expected,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes
,Squad,# Pl,Age,Poss,MP,Starts,Min,90s,Gls,Ast,G-PK,PK,PKatt,CrdY,CrdR,Gls,Ast,G+A,G-PK,G+A-PK,xG,npxG,xA,npxG+xA,xG,xA,xG+xA,npxG,npxG+xA
0,vs Ajaccio,21,25.9,61.0,4,44,360,4.0,7,4,6,1,2,10,3,1.75,1.0,2.75,1.5,2.5,4.9,3.3,2.2,5.4,1.21,0.54,1.75,0.82,1.36
1,vs Angers,21,27.5,47.0,4,44,360,4.0,7,6,7,0,0,10,1,1.75,1.5,3.25,1.75,3.25,5.5,5.5,3.9,9.4,1.38,0.97,2.35,1.38,2.35
2,vs Auxerre,20,27.4,60.8,4,44,360,4.0,7,7,7,0,0,7,2,1.75,1.75,3.5,1.75,3.5,5.8,5.8,5.4,11.2,1.45,1.34,2.79,1.45,2.79
3,vs Brest,21,26.6,53.3,4,44,360,4.0,12,10,12,0,1,10,1,3.0,2.5,5.5,3.0,5.5,6.9,6.1,4.3,10.4,1.72,1.08,2.79,1.52,2.6
4,vs Clermont Foot,20,26.1,48.5,4,44,360,4.0,9,6,6,3,3,7,3,2.25,1.5,3.75,1.5,3.0,9.9,7.5,5.5,13.0,2.46,1.38,3.84,1.88,3.26
5,vs Lens,16,26.2,42.0,4,44,360,4.0,4,2,3,1,1,14,1,1.0,0.5,1.5,0.75,1.25,4.2,3.4,2.4,5.8,1.05,0.6,1.65,0.85,1.45
6,vs Lille,20,28.1,41.0,4,44,360,4.0,10,8,10,0,0,6,0,2.5,2.0,4.5,2.5,4.5,6.9,6.9,5.5,12.5,1.73,1.39,3.12,1.73,3.12
7,vs Lorient,17,26.9,59.0,3,33,270,3.0,3,1,3,0,0,8,1,1.0,0.33,1.33,1.0,1.33,4.3,4.3,2.3,6.6,1.42,0.78,2.2,1.42,2.2
8,vs Lyon,20,27.1,30.7,3,33,270,3.0,3,1,1,2,2,8,2,1.0,0.33,1.33,0.33,0.67,2.7,1.2,0.9,2.1,0.92,0.31,1.23,0.39,0.71
9,vs Marseille,22,26.2,45.5,4,44,360,4.0,3,0,2,1,1,3,0,0.75,0.0,0.75,0.5,0.5,5.9,5.1,4.6,9.6,1.46,1.14,2.6,1.27,2.41
10,vs Monaco,23,27.1,60.0,4,44,360,4.0,7,4,5,2,2,7,0,1.75,1.0,2.75,1.25,2.25,8.6,7.0,5.0,12.0,2.14,1.24,3.38,1.75,2.99
11,vs Montpellier,21,27.6,48.3,4,44,360,4.0,8,3,5,3,4,5,3,2.0,0.75,2.75,1.25,2.0,6.8,3.7,2.3,5.9,1.7,0.57,2.27,0.92,1.48
12,vs Nantes,17,26.7,56.3,4,44,360,4.0,3,2,3,0,0,15,1,0.75,0.5,1.25,0.75,1.25,5.7,5.7,3.7,9.4,1.43,0.93,2.36,1.43,2.36
13,vs Nice,21,27.6,48.0,4,44,360,4.0,6,4,6,0,0,7,0,1.5,1.0,2.5,1.5,2.5,4.0,4.0,3.4,7.4,1.0,0.85,1.85,1.0,1.85
14,vs Paris S-G,19,26.6,40.3,4,44,360,4.0,4,2,4,0,0,9,0,1.0,0.5,1.5,1.0,1.5,3.2,3.2,2.1,5.3,0.81,0.52,1.33,0.81,1.33
15,vs Reims,19,27.3,62.8,4,44,360,4.0,9,7,8,1,1,6,0,2.25,1.75,4.0,2.0,3.75,5.8,5.0,3.5,8.5,1.45,0.87,2.32,1.26,2.13
16,vs Rennes,21,26.3,41.3,4,44,360,4.0,4,3,4,0,2,3,1,1.0,0.75,1.75,1.0,1.75,5.5,3.9,2.6,6.5,1.37,0.64,2.01,0.97,1.62
17,vs Strasbourg,20,26.3,44.8,4,44,360,4.0,5,3,4,1,1,7,0,1.25,0.75,2.0,1.0,1.75,7.8,7.0,4.9,12.0,1.96,1.23,3.19,1.76,2.99
18,vs Toulouse,20,26.0,46.0,4,44,360,4.0,6,4,5,1,2,5,0,1.5,1.0,2.5,1.25,2.25,6.1,4.6,3.4,8.0,1.53,0.85,2.38,1.14,1.99
19,vs Troyes,19,26.2,59.8,4,44,360,4.0,10,6,10,0,0,5,1,2.5,1.5,4.0,2.5,4.0,6.4,6.4,3.5,10.0,1.61,0.89,2.49,1.61,2.49
