,Unnamed: 0_level_0,Unnamed: 1_level_0,Playing Time,Playing Time,Playing Time,Playing Time,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Penalty Kicks,Penalty Kicks,Penalty Kicks,Penalty Kicks,Penalty Kicks
,Squad,# Pl,MP,Starts,Min,90s,GA,GA90,SoTA,Saves,Save%,W,D,L,CS,CS%,PKatt,PKA,PKsv,PKm,Save%
0,vs Ajaccio,1,4,4,357,4.0,3,0.76,9,7,77.8,3,1,0,1,25.0,2,1,1,0,50.0
1,vs Angers,1,4,4,360,4.0,4,1.0,15,11,73.3,2,2,0,1,25.0,0,0,0,0,
2,vs Auxerre,1,4,4,360,4.0,6,1.5,10,6,50.0,1,1,2,0,0.0,1,1,0,0,0.0
3,vs Brest,1,4,4,360,4.0,6,1.5,15,10,66.7,2,1,1,1,25.0,1,1,0,0,0.0
4,vs Clermont Foot,1,4,4,360,4.0,6,1.5,9,4,44.4,2,0,2,1,25.0,1,1,0,0,0.0
5,vs Lens,1,4,4,360,4.0,9,2.25,18,10,55.6,0,1,3,1,25.0,2,1,1,0,50.0
6,vs Lille,1,4,4,360,4.0,9,2.25,23,14,60.9,1,1,2,0,0.0,1,0,0,1,
7,vs Lorient,1,3,3,270,3.0,5,1.67,12,10,75.0,0,1,2,0,0.0,3,2,1,0,33.3
8,vs Lyon,2,3,3,270,3.0,7,2.33,18,12,66.7,0,1,2,0,0.0,1,1,0,0,0.0
9,vs Marseille,2,4,4,360,4.0,10,2.5,17,8,41.2,0,1,3,0,0.0,0,0,0,0,
10,vs Monaco,1,4,4,360,4.0,5,1.25,22,16,77.3,1,2,1,0,0.0,1,0,1,0,100.0
11,vs Montpellier,1,4,4,360,4.0,13,3.25,25,12,48.0,2,0,2,0,0.0,0,0,0,0,
12,vs Nantes,1,4,4,360,4.0,5,1.25,14,10,71.4,1,2,1,1,25.0,1,1,0,0,0.0
13,vs Nice,2,4,4,360,4.0,2,0.5,12,11,91.7,2,2,0,2,50.0,1,1,0,0,0.0
14,vs Paris S-G,1,4,4,360,4.0,18,4.5,33,18,51.5,0,1,3,0,0.0,3,2,1,0,33.3
15,vs Reims,1,4,4,360,4.0,5,1.25,20,17,85.0,2,2,0,0,0.0,2,2,0,0,0.0
16,vs Rennes,2,4,4,360,4.0,4,1.0,26,22,84.6,2,1,1,1,25.0,0,0,0,0,
17,vs Strasbourg,1,4,4,360,4.0,3,0.75,18,15,83.3,2,2,0,1,25.0,0,0,0,0,
18,vs Toulouse,1,4,4,360,4.0,7,1.75,17,11,58.8,1,2,1,0,0.0,0,0,0,0,
19,vs Troyes,1,4,4,360,4.0,6,1.5,20,16,80.0,3,0,1,1,25.0,2,2,0,0,0.0
