,Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Goals,Goals,Goals,Goals,Goals,Expected,Expected,Expected,Expected,Launched,Launched,Launched,Passes,Passes,Passes,Passes,Goal Kicks,Goal Kicks,Goal Kicks,Crosses,Crosses,Crosses,Sweeper,Sweeper,Sweeper
,Squad,# Pl,90s,GA,PKA,FK,CK,OG,PSxG,PSxG/SoT,PSxG+/-,/90,Cmp,Att,Cmp%,Att,Thr,Launch%,AvgLen,Att,Launch%,AvgLen,Opp,Stp,Stp%,#OPA,#OPA/90,AvgDist
0,vs Alavés,3,38.0,31,6,0,6,2,33.0,0.25,2.0,0.05,271,692,39.2,1047,172,50.8,41.6,271,59.0,45.7,389,32,8.2,31,0.82,15.1
1,vs Athletic Club,2,38.0,43,3,1,7,3,45.6,0.27,2.6,0.07,387,862,44.9,1143,166,56.4,44.4,318,68.2,52.5,410,31,7.6,37,0.97,14.5
2,vs Atlético Madrid,1,38.0,65,4,0,8,2,58.0,0.37,-7.0,-0.18,252,594,42.4,932,142,43.9,39.4,330,56.1,45.7,341,24,7.0,23,0.61,13.5
3,vs Barcelona,2,38.0,68,6,0,5,0,62.2,0.32,-5.8,-0.15,317,785,40.4,980,122,55.6,44.5,350,68.6,51.6,393,27,6.9,22,0.58,13.4
4,vs Betis,2,38.0,62,6,2,5,2,58.8,0.3,-3.2,-0.08,254,591,43.0,911,152,47.2,40.5,273,59.0,47.4,256,21,8.2,23,0.61,14.8
5,vs Cádiz,1,38.0,35,3,1,3,0,43.0,0.33,8.0,0.21,289,567,51.0,899,179,42.5,38.3,301,61.5,48.6,465,50,10.8,38,1.0,15.6
6,vs Celta Vigo,1,38.0,43,3,0,3,0,45.7,0.3,2.7,0.07,297,668,44.5,914,143,52.4,43.2,277,68.2,51.9,401,23,5.7,22,0.58,13.1
7,vs Elche,2,38.0,40,1,0,3,1,33.0,0.3,-7.0,-0.19,210,492,42.7,806,139,44.4,40.1,241,55.6,46.1,342,25,7.3,37,0.97,15.9
8,vs Espanyol,3,38.0,40,5,1,7,1,35.9,0.25,-4.1,-0.11,215,423,50.8,800,144,36.0,35.8,258,52.3,44.6,286,24,8.4,19,0.5,14.2
9,vs Getafe,2,38.0,33,3,0,4,2,29.2,0.22,-3.8,-0.1,236,559,42.2,977,184,43.3,38.7,239,56.9,46.5,290,20,6.9,36,0.95,15.9
10,vs Granada,2,38.0,44,3,0,12,1,41.6,0.3,-2.4,-0.06,239,600,39.8,898,140,45.4,40.3,296,64.9,50.2,339,34,10.0,26,0.68,15.5
11,vs Levante,4,38.0,51,8,0,4,0,53.5,0.31,2.5,0.06,256,654,39.1,955,167,48.2,40.8,288,67.4,50.7,309,33,10.7,37,0.97,15.1
12,vs Mallorca,4,38.0,36,6,0,5,3,40.8,0.27,4.8,0.13,226,573,39.4,907,136,45.1,40.6,262,62.6,48.9,328,26,7.9,28,0.74,15.0
13,vs Osasuna,2,38.0,37,6,1,5,0,35.8,0.26,-1.2,-0.03,235,676,34.8,1000,154,46.6,40.1,325,64.6,50.5,439,39,8.9,20,0.53,13.2
14,vs Rayo Vallecano,2,38.0,39,4,0,7,1,42.4,0.3,3.4,0.09,300,750,40.0,1016,160,50.0,43.1,326,74.2,56.1,425,30,7.1,29,0.76,14.6
15,vs Real Madrid,2,38.0,80,8,0,13,0,80.3,0.3,0.3,0.01,320,679,47.1,827,133,51.9,42.7,353,70.8,52.8,310,24,7.7,19,0.5,14.1
16,vs Real Sociedad,2,38.0,40,9,2,6,0,44.3,0.26,4.3,0.11,269,744,36.2,1014,136,56.4,44.1,246,69.9,52.2,279,17,6.1,31,0.82,14.6
17,vs Sevilla,3,38.0,53,2,1,11,2,46.3,0.32,-6.7,-0.18,287,758,37.9,925,133,55.8,44.0,310,78.1,55.2,415,28,6.7,37,0.97,14.5
18,vs Valencia,3,38.0,48,8,0,5,3,39.7,0.25,-8.3,-0.22,261,639,40.8,925,146,51.6,42.1,274,59.1,48.0,376,29,7.7,24,0.63,14.7
19,vs Villarreal,2,38.0,63,5,0,10,1,58.2,0.32,-4.8,-0.13,254,697,36.4,907,128,56.2,44.7,277,67.5,50.3,283,24,8.5,29,0.76,14.8
