,Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Pass Types,Pass Types,Pass Types,Pass Types,Pass Types,Pass Types,Pass Types,Pass Types,Corner Kicks,Corner Kicks,Corner Kicks,Height,Height,Height,Body Parts,Body Parts,Body Parts,Body Parts,Body Parts,Outcomes,Outcomes,Outcomes,Outcomes,Outcomes
,Squad,# Pl,90s,Att,Live,Dead,FK,TB,Press,Sw,Crs,CK,In,Out,Str,Ground,Low,High,Left,Right,Head,TI,Other,Cmp,Off,Out,Int,Blocks
0,vs Alavés,33,38.0,19866,17762,2104,573,44,2982,686,512,231,50,108,5,12681,2669,4516,5590,11448,937,955,291,15557,82,374,515,487
1,vs Athletic Club,26,38.0,18885,16913,1972,551,10,2547,833,532,161,59,55,10,12016,2539,4330,5498,10898,765,855,280,14845,61,376,468,458
2,vs Atlético Madrid,26,38.0,18718,16865,1853,531,15,2500,660,367,150,65,63,5,12700,2285,3733,5145,11268,868,730,237,15026,34,370,478,392
3,vs Barcelona,38,38.0,13876,12060,1816,578,19,2340,441,310,128,51,52,2,8511,1976,3389,3970,8014,597,643,205,10575,71,314,437,433
4,vs Betis,31,38.0,16906,14966,1940,542,21,2308,590,503,215,94,78,10,10862,2211,3833,4651,9915,747,803,260,13157,116,312,488,451
5,vs Cádiz,33,38.0,20612,18729,1883,520,23,2981,655,488,174,58,72,10,14226,2472,3914,5794,12337,785,807,294,16839,55,322,577,429
6,vs Celta Vigo,25,38.0,16619,14628,1991,565,23,2981,583,383,145,53,55,4,10038,2472,4109,4590,9365,866,919,246,12600,32,352,537,542
7,vs Elche,28,38.0,18195,16344,1851,556,39,2436,606,537,195,68,73,8,12272,2216,3707,5442,10591,677,777,220,14481,100,298,490,413
8,vs Espanyol,34,38.0,19219,17451,1768,490,34,2256,619,609,223,76,79,14,13163,2447,3609,5223,11792,716,713,241,15640,73,314,505,418
9,vs Getafe,31,38.0,21103,19167,1936,581,33,3222,834,466,187,56,88,5,14023,2648,4432,6126,12215,965,849,303,16901,103,410,572,497
10,vs Granada,32,38.0,18811,16849,1962,510,32,2751,663,574,205,56,93,9,12154,2525,4132,5257,10899,877,851,249,14813,59,410,464,478
11,vs Levante,31,38.0,18570,16681,1889,600,35,2554,595,492,185,55,69,7,12482,2224,3864,5467,10929,721,715,258,14834,69,333,481,378
12,vs Mallorca,33,38.0,18404,16516,1888,599,23,2449,606,500,160,68,64,4,12078,2315,4011,5548,10437,783,786,239,14517,52,368,508,456
13,vs Osasuna,29,38.0,19090,17083,2007,544,29,2685,616,511,183,50,69,16,12281,2528,4281,5568,10856,886,865,267,14869,73,395,531,453
14,vs Rayo Vallecano,28,38.0,17172,15123,2049,591,25,3065,522,426,177,73,66,9,10420,2462,4290,4909,9637,850,867,263,13060,44,409,569,501
15,vs Real Madrid,31,38.0,16458,14741,1717,473,24,2195,574,441,153,67,55,6,11470,1895,3093,4905,9865,550,616,212,13382,24,304,490,353
16,vs Real Sociedad,32,38.0,16254,14282,1972,543,20,2587,531,448,174,54,65,7,9960,2295,3999,4611,9264,676,917,227,12465,79,314,456,436
17,vs Sevilla,33,38.0,15066,13233,1833,519,13,2208,472,409,158,64,58,6,9246,2038,3782,4254,8555,775,743,229,11450,48,365,444,394
18,vs Valencia,34,38.0,17860,15759,2101,668,28,2949,594,456,172,66,64,5,11463,2326,4071,5015,10311,818,893,246,13862,84,372,555,423
19,vs Villarreal,29,38.0,15677,13894,1783,541,22,2202,615,503,198,73,79,9,10055,1911,3711,4304,9430,610,669,205,12017,111,329,483,387
