,Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Expected,Expected,Expected,Expected,Expected
,Squad,# Pl,90s,Gls,Sh,SoT,SoT%,Sh/90,SoT/90,G/Sh,G/SoT,Dist,FK,PK,PKatt,xG,npxG,npxG/Sh,G-xG,np:G-xG
0,vs Alavés,33,38.0,65,511,158,30.9,13.45,4.16,0.12,0.37,16.7,20,6,9,58.4,51.6,0.1,6.6,7.4
1,vs Athletic Club,26,38.0,35,437,126,28.8,11.5,3.32,0.07,0.25,17.7,18,3,3,38.2,35.9,0.08,-3.2,-3.9
2,vs Atlético Madrid,26,38.0,41,349,96,27.5,9.18,2.53,0.1,0.35,18.5,16,7,8,33.7,27.9,0.08,7.3,6.1
3,vs Barcelona,38,38.0,38,356,124,34.8,9.37,3.26,0.1,0.29,17.5,14,2,3,36.0,33.7,0.1,2.0,2.3
4,vs Betis,31,38.0,38,428,127,29.7,11.26,3.34,0.08,0.28,16.9,11,3,3,44.3,42.0,0.1,-6.3,-7.0
5,vs Cádiz,33,38.0,51,466,159,34.1,12.26,4.18,0.09,0.25,17.8,20,11,13,52.8,43.0,0.09,-1.8,-3.0
6,vs Celta Vigo,25,38.0,41,398,128,32.2,10.47,3.37,0.09,0.29,17.2,16,4,8,46.6,40.4,0.1,-5.6,-3.4
7,vs Elche,28,38.0,52,516,166,32.2,13.58,4.37,0.09,0.27,17.5,22,7,10,61.0,53.6,0.11,-9.0,-8.6
8,vs Espanyol,34,38.0,52,504,162,32.1,13.26,4.26,0.1,0.3,16.5,13,4,5,52.1,48.3,0.1,-0.1,-0.3
9,vs Getafe,31,38.0,40,409,130,31.8,10.76,3.42,0.09,0.29,18.5,21,2,4,39.1,36.1,0.09,0.9,1.9
10,vs Granada,32,38.0,59,562,184,32.7,14.79,4.84,0.09,0.28,17.2,15,7,9,61.4,55.0,0.1,-2.4,-3.0
11,vs Levante,31,38.0,76,511,196,38.4,13.45,5.16,0.14,0.36,17.2,16,5,6,56.1,51.6,0.1,19.9,19.4
12,vs Mallorca,33,38.0,59,463,143,30.9,12.18,3.76,0.11,0.37,17.0,13,6,8,48.2,42.1,0.09,10.8,10.9
13,vs Osasuna,29,38.0,49,440,140,31.8,11.58,3.68,0.1,0.32,18.5,8,4,7,45.2,39.8,0.09,3.8,5.2
14,vs Rayo Vallecano,28,38.0,49,411,153,37.2,10.82,4.03,0.1,0.27,17.7,17,7,9,46.7,39.9,0.1,2.3,2.1
15,vs Real Madrid,31,38.0,31,431,123,28.5,11.34,3.24,0.06,0.23,18.0,14,3,5,46.8,42.9,0.1,-15.8,-14.9
16,vs Real Sociedad,32,38.0,37,417,122,29.3,10.97,3.21,0.08,0.26,17.9,14,5,6,39.7,35.2,0.09,-2.7,-3.2
17,vs Sevilla,33,38.0,30,424,118,27.8,11.16,3.11,0.07,0.24,18.1,15,2,4,38.5,35.5,0.08,-8.5,-7.5
18,vs Valencia,34,38.0,50,437,156,35.7,11.5,4.11,0.1,0.28,17.8,19,7,8,47.3,41.2,0.1,2.7,1.8
19,vs Villarreal,29,38.0,36,417,124,29.7,10.97,3.26,0.08,0.26,18.3,13,4,5,46.5,42.7,0.1,-10.5,-10.7
