,Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Playing Time,Playing Time,Playing Time,Playing Time,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Expected,Expected,Expected,Expected,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes
,Squad,# Pl,Age,Poss,MP,Starts,Min,90s,Gls,Ast,G-PK,PK,PKatt,CrdY,CrdR,Gls,Ast,G+A,G-PK,G+A-PK,xG,npxG,xA,npxG+xA,xG,xA,xG+xA,npxG,npxG+xA
0,vs Alavés,33,27.6,58.2,38,418,3420,38.0,65,48,59,6,9,79,4,1.71,1.26,2.97,1.55,2.82,58.4,51.6,41.4,93.0,1.54,1.09,2.63,1.36,2.45
1,vs Athletic Club,26,27.6,51.9,38,418,3420,38.0,35,26,32,3,3,105,9,0.92,0.68,1.61,0.84,1.53,38.2,35.9,26.2,62.2,1.0,0.69,1.69,0.95,1.64
2,vs Atlético Madrid,26,27.6,49.4,38,418,3420,38.0,41,28,34,7,8,102,4,1.08,0.74,1.82,0.89,1.63,33.7,27.9,19.2,47.1,0.89,0.51,1.39,0.73,1.24
3,vs Barcelona,38,27.7,35.2,38,418,3420,38.0,38,27,36,2,3,93,5,1.0,0.71,1.71,0.95,1.66,36.0,33.7,24.6,58.3,0.95,0.65,1.59,0.89,1.53
4,vs Betis,31,27.4,45.9,38,418,3420,38.0,38,29,35,3,3,74,3,1.0,0.76,1.76,0.92,1.68,44.3,42.0,28.8,70.8,1.17,0.76,1.92,1.11,1.86
5,vs Cádiz,33,27.6,59.1,38,418,3420,38.0,51,31,40,11,13,98,6,1.34,0.82,2.16,1.05,1.87,52.8,43.0,32.4,75.4,1.39,0.85,2.24,1.13,1.98
6,vs Celta Vigo,25,27.4,44.4,38,418,3420,38.0,41,29,37,4,8,103,5,1.08,0.76,1.84,0.97,1.74,46.6,40.4,30.0,70.4,1.23,0.79,2.02,1.06,1.85
7,vs Elche,28,27.4,51.6,38,418,3420,38.0,52,41,45,7,10,80,2,1.37,1.08,2.45,1.18,2.26,61.0,53.6,41.0,94.6,1.61,1.08,2.68,1.41,2.49
8,vs Espanyol,34,27.5,52.9,38,418,3420,38.0,52,39,48,4,5,120,7,1.37,1.03,2.39,1.26,2.29,52.1,48.3,35.9,84.2,1.37,0.94,2.32,1.27,2.22
9,vs Getafe,31,27.8,58.8,38,418,3420,38.0,40,30,38,2,4,110,4,1.05,0.79,1.84,1.0,1.79,39.1,36.1,26.5,62.6,1.03,0.7,1.73,0.95,1.65
10,vs Granada,32,27.6,55.4,38,418,3420,38.0,59,46,52,7,9,101,9,1.55,1.21,2.76,1.37,2.58,61.4,55.0,42.0,97.0,1.62,1.11,2.72,1.45,2.55
11,vs Levante,31,27.4,53.1,38,418,3420,38.0,76,59,71,5,6,104,5,2.0,1.55,3.55,1.87,3.42,56.1,51.6,41.2,92.8,1.48,1.09,2.56,1.36,2.44
12,vs Mallorca,33,27.7,54.9,38,418,3420,38.0,59,40,53,6,8,114,6,1.55,1.05,2.61,1.39,2.45,48.2,42.1,31.2,73.2,1.27,0.82,2.09,1.11,1.93
13,vs Osasuna,29,27.6,53.3,38,418,3420,38.0,49,37,45,4,7,73,1,1.29,0.97,2.26,1.18,2.16,45.2,39.8,30.7,70.6,1.19,0.81,2.0,1.05,1.86
14,vs Rayo Vallecano,28,27.6,50.1,38,418,3420,38.0,49,33,42,7,9,110,3,1.29,0.87,2.16,1.11,1.97,46.7,39.9,32.0,71.9,1.23,0.84,2.07,1.05,1.89
15,vs Real Madrid,31,27.6,39.7,38,418,3420,38.0,31,20,28,3,5,82,3,0.82,0.53,1.34,0.74,1.26,46.8,42.9,33.5,76.4,1.23,0.88,2.11,1.13,2.01
16,vs Real Sociedad,32,27.7,45.3,38,418,3420,38.0,37,28,32,5,6,95,2,0.97,0.74,1.71,0.84,1.58,39.7,35.2,27.6,62.8,1.04,0.73,1.77,0.93,1.65
17,vs Sevilla,33,27.8,40.2,38,418,3420,38.0,30,19,28,2,4,98,4,0.79,0.5,1.29,0.74,1.24,38.5,35.5,24.2,59.7,1.01,0.64,1.65,0.93,1.57
18,vs Valencia,34,27.8,56.4,38,418,3420,38.0,50,34,43,7,8,133,7,1.32,0.89,2.21,1.13,2.03,47.3,41.2,31.6,72.8,1.24,0.83,2.07,1.08,1.91
19,vs Villarreal,29,27.6,43.0,38,418,3420,38.0,36,20,32,4,5,98,3,0.95,0.53,1.47,0.84,1.37,46.5,42.7,29.3,72.0,1.22,0.77,1.99,1.12,1.89
