,Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Tackles,Tackles,Tackles,Tackles,Tackles,Vs Dribbles,Vs Dribbles,Vs Dribbles,Vs Dribbles,Pressures,Pressures,Pressures,Pressures,Pressures,Pressures,Blocks,Blocks,Blocks,Blocks,Unnamed: 22_level_0,Unnamed: 23_level_0,Unnamed: 24_level_0,Unnamed: 25_level_0
,Squad,# Pl,90s,Tkl,TklW,Def 3rd,Mid 3rd,Att 3rd,Tkl,Att,Tkl%,Past,Press,Succ,%,Def 3rd,Mid 3rd,Att 3rd,Blocks,Sh,ShSv,Pass,Int,Tkl+Int,Clr,Err
0,vs Alavés,33,38.0,561,344,266,235,60,227,513,44.2,286,4688,1544,32.9,1541,2215,932,539,101,1,438,444,1005,821,6
1,vs Athletic Club,26,38.0,641,387,332,256,53,235,538,43.7,303,5148,1527,29.7,1836,2337,975,598,143,4,455,610,1251,836,12
2,vs Atlético Madrid,26,38.0,613,379,334,196,83,230,573,40.1,343,5411,1448,26.8,1808,2386,1217,542,111,2,431,613,1226,866,14
3,vs Barcelona,38,38.0,691,433,352,245,94,247,679,36.4,432,6367,1546,24.3,2095,2961,1311,542,125,4,417,596,1287,763,11
4,vs Betis,31,38.0,655,384,339,248,68,248,631,39.3,383,5832,1578,27.1,2041,2628,1163,569,149,0,420,560,1215,612,10
5,vs Cádiz,33,38.0,589,366,281,223,85,201,478,42.1,277,4659,1431,30.7,1422,2064,1173,523,102,2,421,490,1079,878,10
6,vs Celta Vigo,25,38.0,601,359,253,274,74,207,507,40.8,300,5416,1573,29.0,1634,2552,1230,605,112,2,493,621,1222,883,12
7,vs Elche,28,38.0,656,414,277,279,100,250,566,44.2,316,5388,1681,31.2,1501,2576,1311,550,93,0,457,524,1180,646,8
8,vs Espanyol,34,38.0,662,415,292,273,97,242,588,41.2,346,5785,1673,28.9,1657,2750,1378,526,110,0,416,472,1134,619,12
9,vs Getafe,31,38.0,569,353,237,265,67,208,459,45.3,251,4896,1600,32.7,1515,2358,1023,537,118,0,419,397,966,792,2
10,vs Granada,32,38.0,587,392,280,217,90,208,460,45.2,252,5087,1671,32.8,1565,2357,1165,524,116,2,408,440,1027,807,6
11,vs Levante,31,38.0,705,444,366,262,77,269,620,43.4,351,5409,1697,31.4,1637,2437,1335,576,125,2,451,543,1248,626,17
12,vs Mallorca,33,38.0,710,433,297,320,93,214,582,36.8,368,5399,1671,31.0,1639,2510,1250,555,128,0,427,453,1163,796,10
13,vs Osasuna,29,38.0,547,334,273,224,50,168,434,38.7,266,5115,1559,30.5,1773,2381,961,586,112,1,474,544,1091,995,13
14,vs Rayo Vallecano,28,38.0,695,440,320,286,89,263,615,42.8,352,5977,1820,30.5,1896,2787,1294,588,144,2,444,539,1234,792,4
15,vs Real Madrid,31,38.0,675,429,381,183,111,316,765,41.3,449,6188,1450,23.4,2308,2343,1537,617,186,5,431,558,1233,630,7
16,vs Real Sociedad,32,38.0,736,448,376,277,83,264,622,42.4,358,6292,1765,28.1,2121,2832,1339,611,139,3,472,554,1290,692,4
17,vs Sevilla,33,38.0,622,373,321,194,107,218,538,40.5,320,5715,1435,25.1,1771,2437,1507,509,112,3,397,554,1176,773,8
18,vs Valencia,34,38.0,668,427,344,246,78,243,601,40.4,358,4969,1597,32.1,1701,2119,1149,529,110,3,419,412,1080,836,6
19,vs Villarreal,29,38.0,681,433,333,249,99,276,708,39.0,432,6437,1707,26.5,1954,2926,1557,619,130,3,489,626,1307,620,11
