,Unnamed: 0_level_0,Unnamed: 1_level_0,Home,Home,Home,Home,Home,Home,Home,Home,Home,Home,Home,Home,Home,Away,Away,Away,Away,Away,Away,Away,Away,Away,Away,Away,Away,Away
,Rk,Squad,MP,W,D,L,GF,GA,GD,Pts,Pts/MP,xG,xGA,xGD,xGD/90,MP,W,D,L,GF,GA,GD,Pts,Pts/MP,xG,xGA,xGD,xGD/90
0,1,Real Madrid,19,13,5,1,44,13,31,44,2.32,40.0,21.6,18.5,0.97,19,13,3,3,36,18,18,42,2.21,34.4,25.3,9.1,0.48
1,2,Barcelona,19,12,2,5,37,19,18,38,2.0,33.3,15.6,17.6,0.93,19,9,8,2,31,19,12,35,1.84,28.8,20.3,8.5,0.45
2,3,Atlético Madrid,19,12,5,2,33,16,17,41,2.16,29.8,13.5,16.3,0.86,19,9,3,7,32,27,5,30,1.58,23.0,20.2,2.8,0.15
3,4,Sevilla,19,12,6,1,36,17,19,42,2.21,24.2,17.8,6.4,0.34,19,6,10,3,17,13,4,28,1.47,19.3,20.7,-1.4,-0.07
4,5,Betis,19,10,2,7,34,22,12,32,1.68,30.5,20.8,9.6,0.51,19,9,6,4,28,18,10,33,1.74,24.7,23.4,1.3,0.07
5,6,Real Sociedad,19,10,5,4,16,9,7,35,1.84,29.0,16.3,12.7,0.67,19,7,6,6,24,28,-4,27,1.42,24.8,23.3,1.4,0.07
6,7,Villarreal,19,10,6,3,40,18,22,36,1.89,36.2,20.6,15.6,0.82,19,6,5,8,23,19,4,23,1.21,26.4,25.9,0.5,0.03
7,8,Athletic Club,19,10,4,5,29,18,11,34,1.79,29.7,12.9,16.7,0.88,19,4,9,6,14,18,-4,21,1.11,20.5,25.2,-4.8,-0.25
8,9,Valencia,19,6,8,5,26,24,2,26,1.37,20.8,19.9,0.9,0.05,19,5,7,7,22,29,-7,22,1.16,18.4,27.3,-8.9,-0.47
9,10,Osasuna,19,5,7,7,17,26,-9,22,1.16,21.4,19.9,1.5,0.08,19,7,4,8,20,25,-5,25,1.32,15.8,25.3,-9.5,-0.5
10,11,Celta Vigo,19,7,4,8,26,23,3,25,1.32,24.9,23.2,1.6,0.09,19,5,6,8,17,20,-3,21,1.11,18.9,23.4,-4.5,-0.24
11,12,Rayo Vallecano,19,8,5,6,26,22,4,29,1.53,26.6,19.7,6.9,0.36,19,3,4,12,13,28,-15,13,0.68,18.8,27.0,-8.2,-0.43
12,13,Elche,19,7,6,6,24,21,3,27,1.42,21.4,26.3,-5.0,-0.26,19,4,3,12,16,31,-15,15,0.79,13.5,34.7,-21.2,-1.12
13,14,Espanyol,19,9,6,4,25,19,6,33,1.74,21.2,23.4,-2.2,-0.11,19,1,6,12,15,34,-19,9,0.47,16.6,28.7,-12.1,-0.64
14,15,Getafe,19,7,7,5,21,15,6,28,1.47,15.3,15.0,0.3,0.02,19,1,8,10,12,26,-14,11,0.58,14.2,24.1,-9.9,-0.52
15,16,Mallorca,19,7,6,6,20,25,-5,27,1.42,23.6,19.7,3.9,0.21,19,3,3,13,16,38,-22,12,0.63,16.5,28.5,-12.0,-0.63
16,17,Cádiz,19,3,9,7,19,24,-5,18,0.95,24.6,27.0,-2.4,-0.12,19,5,6,8,16,27,-11,21,1.11,16.8,25.8,-9.0,-0.47
17,18,Granada,19,5,7,7,22,29,-7,22,1.16,22.2,32.7,-10.5,-0.55,19,3,7,9,22,32,-10,16,0.84,19.1,28.8,-9.7,-0.51
18,19,Levante,19,5,7,7,28,30,-2,22,1.16,31.5,22.2,9.3,0.49,19,3,4,12,23,46,-23,13,0.68,24.9,33.9,-9.0,-0.47
19,20,Alavés,19,7,4,8,17,21,-4,25,1.32,22.3,21.9,0.4,0.02,19,1,3,15,14,44,-30,6,0.32,14.7,36.5,-21.8,-1.15
