,Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Aerial Duels,Aerial Duels,Aerial Duels
,Squad,# Pl,90s,CrdY,CrdR,2CrdY,Fls,Fld,Off,Crs,Int,TklW,PKwon,PKcon,OG,Recov,Won,Lost,Won%
0,vs Alavés,33,38.0,79,4,1,544,586,89,512,444,344,3,7,2,3582,819,1040,44.1
1,vs Athletic Club,26,38.0,105,9,4,591,536,67,532,610,387,2,7,3,3225,702,697,50.2
2,vs Atlético Madrid,26,38.0,102,4,1,627,505,36,367,613,379,3,5,2,2931,633,665,48.8
3,vs Barcelona,38,38.0,93,5,1,645,522,78,310,596,433,2,7,0,2625,482,531,47.6
4,vs Betis,31,38.0,74,3,1,588,526,129,503,560,384,3,6,1,3001,627,601,51.1
5,vs Cádiz,33,38.0,98,6,3,522,551,63,488,490,366,10,6,0,3242,786,714,52.4
6,vs Celta Vigo,25,38.0,103,5,0,568,550,35,383,621,359,6,6,0,3371,810,712,53.2
7,vs Elche,28,38.0,80,2,0,560,574,104,537,524,414,8,1,1,3156,624,571,52.2
8,vs Espanyol,34,38.0,120,7,4,618,495,85,609,472,415,2,4,1,3053,669,540,55.3
9,vs Getafe,31,38.0,110,4,2,565,605,109,466,397,353,3,4,1,3595,888,871,50.5
10,vs Granada,32,38.0,101,9,6,548,526,69,574,440,392,7,5,1,3502,906,728,55.4
11,vs Levante,31,38.0,104,5,3,477,612,78,492,543,444,6,12,0,3071,603,535,53.0
12,vs Mallorca,33,38.0,114,6,4,645,612,56,500,453,433,4,6,3,3277,802,790,50.4
13,vs Osasuna,29,38.0,73,1,0,469,553,82,511,544,334,5,8,0,3398,888,966,47.9
14,vs Rayo Vallecano,28,38.0,110,3,0,623,601,54,426,539,440,6,4,1,3317,784,759,50.8
15,vs Real Madrid,31,38.0,82,3,1,580,435,30,441,558,429,5,12,0,2384,372,444,45.6
16,vs Real Sociedad,32,38.0,95,2,2,581,523,86,448,554,448,5,10,0,3119,702,842,45.5
17,vs Sevilla,33,38.0,98,4,2,556,510,53,409,554,373,1,2,2,2880,638,685,48.2
18,vs Valencia,34,38.0,133,7,4,653,693,97,456,412,427,5,9,3,3308,726,678,51.7
19,vs Villarreal,29,38.0,98,3,2,564,524,123,503,626,433,5,5,1,2812,514,606,45.9
