,Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Touches,Touches,Touches,Touches,Touches,Touches,Touches,Dribbles,Dribbles,Dribbles,Dribbles,Dribbles,Carries,Carries,Carries,Carries,Carries,Carries,Carries,Carries,Receiving,Receiving,Receiving,Receiving
,Squad,# Pl,Poss,90s,Touches,Def Pen,Def 3rd,Mid 3rd,Att 3rd,Att Pen,Live,Succ,Att,Succ%,#Pl,Megs,Carries,TotDist,PrgDist,Prog,1/3,CPA,Mis,Dis,Targ,Rec,Rec%,Prog
0,vs Alavés,33,58.2,38.0,24244,2505,7771,11750,6091,994,22211,336,616,54.5,379,28,15227,74609,39707,1473,427,144,479,378,18374,15557,84.7,1353
1,vs Athletic Club,26,51.9,38.0,23346,2898,8564,10486,5557,822,21438,296,544,54.4,327,39,14411,71127,35862,1299,407,155,497,362,17197,14845,86.3,1086
2,vs Atlético Madrid,26,49.4,38.0,23038,2753,7899,11302,5208,601,21230,307,602,51.0,340,30,14481,71038,37222,1402,393,84,482,406,17283,15026,86.9,1089
3,vs Barcelona,38,35.2,38.0,18184,2849,7293,7974,3893,644,16431,246,504,48.8,271,30,10580,53060,26570,914,266,121,501,385,12612,10575,83.8,803
4,vs Betis,31,45.9,38.0,21146,2465,7052,9877,5523,827,19268,343,664,51.7,377,31,12524,67534,37619,1396,452,141,450,398,15723,13157,83.7,1109
5,vs Cádiz,33,59.1,38.0,25118,2384,7245,12760,6720,902,23289,362,655,55.3,398,45,16291,82334,46471,1947,533,124,522,449,19053,16839,88.4,1523
6,vs Celta Vigo,25,44.4,38.0,21362,2440,7117,10156,5237,759,19431,411,702,58.5,446,32,12374,59448,29939,1241,404,117,529,540,15316,12600,82.3,1065
7,vs Elche,28,51.6,38.0,22414,1997,6687,11192,5971,920,20611,298,552,54.0,325,26,14035,73796,41177,1592,456,159,457,388,16806,14481,86.2,1293
8,vs Espanyol,34,52.9,38.0,23295,2139,6598,11305,6903,1097,21603,310,542,57.2,333,28,15217,81174,45558,1834,546,205,467,395,17753,15640,88.1,1439
9,vs Getafe,31,58.8,38.0,25338,2284,8118,13249,5538,744,23472,305,573,53.2,330,41,16361,79569,41422,1599,478,109,519,396,19517,16901,86.6,1209
10,vs Granada,32,55.4,38.0,23238,2332,6998,11149,6456,1058,21321,325,604,53.8,352,34,14452,74982,40498,1697,523,174,538,431,17291,14813,85.7,1257
11,vs Levante,31,53.1,38.0,22892,2414,7183,11060,6043,977,21062,287,537,53.4,310,29,14188,75733,40938,1679,520,177,482,389,17495,14834,84.8,1217
12,vs Mallorca,33,54.9,38.0,22776,2352,7167,11118,5862,892,20959,252,497,50.7,282,31,14172,72572,39889,1591,470,133,449,455,16570,14517,87.6,1142
13,vs Osasuna,29,53.3,38.0,23570,2723,8091,11064,5791,851,21631,335,644,52.0,372,40,14911,73727,40643,1590,499,192,473,358,17585,14869,84.6,1060
14,vs Rayo Vallecano,28,50.1,38.0,21623,2599,7488,9868,5486,788,19637,369,662,55.7,408,48,12625,63022,33708,1269,420,114,524,403,15355,13060,85.1,1166
15,vs Real Madrid,31,39.7,38.0,20575,2767,7048,9471,5372,780,18900,283,531,53.3,305,25,12999,67002,37602,1552,469,137,410,383,15343,13382,87.2,1023
16,vs Real Sociedad,32,45.3,38.0,20718,2562,7122,9279,5471,749,18802,275,526,52.3,303,28,12520,62888,32936,1303,437,141,494,450,14980,12465,83.2,976
17,vs Sevilla,33,40.2,38.0,19209,2423,6478,8915,4940,754,17437,249,486,51.2,269,39,11202,57891,30959,1267,410,119,439,379,13722,11450,83.4,929
18,vs Valencia,34,56.4,38.0,22295,2424,7531,10444,5662,815,20259,300,572,52.4,336,33,13551,67453,36086,1365,439,125,493,441,16265,13862,85.2,1177
19,vs Villarreal,29,43.0,38.0,19770,2550,7027,8841,5009,774,18056,247,479,51.6,280,26,12161,61852,33162,1268,398,152,426,354,14313,12017,84.0,892
