,Unnamed: 0_level_0,Unnamed: 1_level_0,Home,Home,Home,Home,Home,Home,Home,Home,Home,Home,Home,Home,Home,Away,Away,Away,Away,Away,Away,Away,Away,Away,Away,Away,Away,Away
,Rk,Squad,MP,W,D,L,GF,GA,GD,Pts,Pts/MP,xG,xGA,xGD,xGD/90,MP,W,D,L,GF,GA,GD,Pts,Pts/MP,xG,xGA,xGD,xGD/90
0,1,Milan,19,12,4,3,28,12,16,40,2.11,30.6,14.8,15.8,0.83,19,14,4,1,41,19,22,46,2.42,32.5,20.0,12.5,0.66
1,2,Inter,19,14,3,2,48,16,32,45,2.37,45.0,17.6,27.4,1.44,19,11,6,2,36,16,20,39,2.05,36.4,21.5,14.8,0.78
2,3,Napoli,19,11,3,5,37,16,21,36,1.89,33.7,13.4,20.3,1.07,19,13,4,2,37,15,22,43,2.26,25.7,18.5,7.3,0.38
3,4,Juventus,19,10,5,4,25,14,11,35,1.84,26.5,14.7,11.8,0.62,19,10,5,4,32,23,9,35,1.84,24.9,23.3,1.6,0.09
4,5,Lazio,19,10,6,3,42,25,17,36,1.89,31.2,23.7,7.5,0.39,19,8,4,7,35,33,2,28,1.47,24.6,24.6,0.1,0.0
5,6,Roma,19,10,6,3,26,16,10,36,1.89,30.9,18.0,12.9,0.68,19,8,3,8,33,27,6,27,1.42,32.8,20.5,12.3,0.65
6,7,Fiorentina,19,13,2,4,38,20,18,41,2.16,35.9,19.6,16.3,0.86,19,6,3,10,21,31,-10,21,1.11,22.9,24.5,-1.5,-0.08
7,8,Atalanta,19,4,8,7,31,29,2,20,1.05,34.2,24.4,9.7,0.51,19,12,3,4,34,19,15,39,2.05,31.8,20.9,11.0,0.58
8,9,Hellas Verona,19,9,3,7,34,25,9,30,1.58,24.9,22.7,2.2,0.11,19,5,8,6,31,34,-3,23,1.21,26.9,26.2,0.7,0.04
9,10,Torino,19,8,5,6,29,21,8,29,1.53,26.6,20.6,6.1,0.32,19,5,6,8,17,20,-3,21,1.11,22.2,19.2,3.0,0.16
10,11,Sassuolo,19,6,6,7,27,30,-3,24,1.26,25.9,28.3,-2.3,-0.12,19,7,5,7,37,36,1,26,1.37,29.9,38.6,-8.7,-0.46
11,12,Udinese,19,6,7,6,31,29,2,25,1.32,25.8,25.2,0.6,0.03,19,5,7,7,30,29,1,22,1.16,27.3,26.8,0.5,0.02
12,13,Bologna,19,8,4,7,25,24,1,28,1.47,21.9,22.3,-0.4,-0.02,19,4,6,9,19,31,-12,18,0.95,22.2,31.9,-9.7,-0.51
13,14,Empoli,19,4,5,10,28,44,-16,17,0.89,26.0,40.2,-14.2,-0.75,19,6,6,7,22,26,-4,24,1.26,20.6,27.6,-7.0,-0.37
14,15,Sampdoria,19,6,3,10,29,32,-3,21,1.11,20.8,26.4,-5.7,-0.3,19,4,3,12,17,31,-14,15,0.79,16.2,32.1,-15.9,-0.84
15,16,Spezia,19,5,3,11,21,30,-9,18,0.95,22.2,33.1,-10.8,-0.57,19,5,3,11,20,41,-21,18,0.95,17.0,34.6,-17.6,-0.93
16,17,Salernitana,19,3,6,10,17,39,-22,15,0.79,20.1,30.6,-10.4,-0.55,19,4,4,11,16,39,-23,16,0.84,17.6,35.4,-17.8,-0.94
17,18,Cagliari,19,3,6,10,20,33,-13,15,0.79,21.4,27.5,-6.2,-0.32,19,3,6,10,14,35,-21,15,0.79,18.2,33.9,-15.7,-0.82
18,19,Genoa,19,3,8,8,14,25,-11,17,0.89,19.8,22.4,-2.6,-0.14,19,1,8,10,13,35,-22,11,0.58,18.0,29.2,-11.2,-0.59
19,20,Venezia,19,3,5,11,21,38,-17,14,0.74,21.8,36.5,-14.7,-0.77,19,3,4,12,13,31,-18,13,0.68,14.2,35.9,-21.7,-1.14
