,Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Total,Total,Total,Total,Total,Short,Short,Short,Medium,Medium,Medium,Long,Long,Long,Unnamed: 17_level_0,Unnamed: 18_level_0,Unnamed: 19_level_0,Unnamed: 20_level_0,Unnamed: 21_level_0,Unnamed: 22_level_0,Unnamed: 23_level_0,Unnamed: 24_level_0
,Squad,# Pl,90s,Cmp,Att,Cmp%,TotDist,PrgDist,Cmp,Att,Cmp%,Cmp,Att,Cmp%,Cmp,Att,Cmp%,Ast,xA,A-xA,KP,1/3,PPA,CrsPA,Prog
0,vs Atalanta,32,38.0,13518,17479,77.3,264201,99522,5516,6392,86.3,5619,6661,84.4,2070,3635,56.9,29,31.1,-2.1,282,873,227,62,1025
1,vs Bologna,36,38.0,14424,17998,80.1,279705,91797,6087,6942,87.7,5741,6777,84.7,2250,3565,63.1,32,37.0,-5.0,394,1107,333,87,1240
2,vs Cagliari,33,38.0,15843,19767,80.1,309238,105733,6302,7226,87.2,6911,8047,85.9,2334,3779,61.8,41,42.2,-1.2,388,1095,384,87,1389
3,vs Empoli,28,38.0,15008,18531,81.0,296436,105821,6244,7061,88.4,5934,6894,86.1,2497,3845,64.9,44,47.7,-3.7,516,1119,415,113,1345
4,vs Fiorentina,28,38.0,12094,15362,78.7,239730,85497,4688,5388,87.0,5428,6252,86.8,1775,3149,56.4,33,32.8,0.2,260,685,193,51,867
5,vs Genoa,40,38.0,16017,20238,79.1,320764,105181,6301,7339,85.9,6807,7970,85.4,2624,4040,65.0,35,36.6,-1.6,379,1035,362,95,1292
6,vs Hellas Verona,31,38.0,12678,17012,74.5,251988,96847,5032,5975,84.2,5260,6435,81.7,2058,3785,54.4,38,33.0,5.0,336,923,313,95,1124
7,vs Inter,27,38.0,13598,16711,81.4,264391,85925,5519,6223,88.7,5737,6554,87.5,2069,3285,63.0,19,25.3,-6.3,291,826,240,74,962
8,vs Juventus,32,38.0,15181,18613,81.6,289633,92685,6364,7221,88.1,6462,7369,87.7,2072,3331,62.2,21,23.7,-2.7,328,1085,298,81,1148
9,vs Lazio,27,38.0,15419,18672,82.6,308897,94276,5817,6514,89.3,6930,7793,88.9,2406,3713,64.8,40,33.2,6.8,336,880,320,85,1033
10,vs Milan,28,38.0,12974,16330,79.4,253761,96476,5400,6174,87.5,5362,6308,85.0,1944,3187,61.0,19,22.5,-3.5,295,909,241,67,1101
11,vs Napoli,27,38.0,13091,16249,80.6,255104,88306,5286,5962,88.7,5700,6505,87.6,1872,3154,59.4,19,24.3,-5.3,308,840,262,59,1052
12,vs Roma,29,38.0,14588,17998,81.1,278909,92587,6063,6794,89.2,6162,7047,87.4,2057,3408,60.4,23,25.6,-2.6,284,963,241,65,1088
13,vs Salernitana,42,38.0,17593,21168,83.1,339026,106304,7256,8098,89.6,7484,8555,87.5,2551,3812,66.9,58,44.7,13.3,436,1230,414,89,1412
14,vs Sampdoria,34,38.0,16188,20000,80.9,310252,98952,6749,7623,88.5,6857,7935,86.4,2302,3744,61.5,41,38.9,2.1,403,1102,356,95,1274
15,vs Sassuolo,29,38.0,13450,16839,79.9,262547,94808,5442,6192,87.9,5754,6723,85.6,1939,3178,61.0,48,47.5,0.5,398,922,362,104,1199
16,vs Spezia,30,38.0,17012,20708,82.2,327955,107626,6925,7850,88.2,7382,8314,88.8,2412,3794,63.6,44,45.5,-1.5,471,1264,391,86,1437
17,vs Torino,31,38.0,11632,15761,73.8,234840,95321,4598,5530,83.1,4786,5884,81.3,1979,3632,54.5,25,24.2,0.8,280,837,233,54,972
18,vs Udinese,29,38.0,17020,20654,82.4,338313,104874,6455,7318,88.2,7618,8611,88.5,2637,3948,66.8,39,32.1,6.9,343,1228,320,82,1360
19,vs Venezia,39,38.0,17344,21162,82.0,346314,108237,6685,7639,87.5,7583,8621,88.0,2788,4128,67.5,39,44.7,-5.7,474,1268,457,113,1507
