,Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Goals,Goals,Goals,Goals,Goals,Expected,Expected,Expected,Expected,Launched,Launched,Launched,Passes,Passes,Passes,Passes,Goal Kicks,Goal Kicks,Goal Kicks,Crosses,Crosses,Crosses,Sweeper,Sweeper,Sweeper
,Squad,# Pl,90s,GA,PKA,FK,CK,OG,PSxG,PSxG/SoT,PSxG+/-,/90,Cmp,Att,Cmp%,Att,Thr,Launch%,AvgLen,Att,Launch%,AvgLen,Opp,Stp,Stp%,#OPA,#OPA/90,AvgDist
0,vs Atalanta,3,38.0,65,5,0,2,3,57.5,0.32,-7.5,-0.2,317,810,39.1,1295,127,50.0,41.1,281,57.7,45.3,280,15,5.4,23,0.61,13.7
1,vs Bologna,3,38.0,44,4,1,9,1,40.1,0.26,-3.9,-0.1,224,546,41.0,907,157,46.1,39.8,233,54.9,42.6,342,17,5.0,20,0.53,13.2
2,vs Cagliari,2,38.0,34,3,1,5,0,37.2,0.31,3.2,0.08,209,530,39.4,1009,150,40.5,37.4,240,50.4,41.5,346,30,8.7,24,0.63,13.5
3,vs Empoli,1,38.0,50,7,0,6,3,44.2,0.25,-5.8,-0.15,280,572,49.0,1001,190,45.3,39.1,244,48.8,41.0,351,31,8.8,24,0.63,13.7
4,vs Fiorentina,2,38.0,59,9,4,4,0,60.5,0.31,1.5,0.04,287,673,42.6,1204,149,43.4,37.5,278,54.3,41.9,381,21,5.5,13,0.34,12.9
5,vs Genoa,2,38.0,27,6,0,2,1,32.7,0.25,5.7,0.15,247,574,43.0,1080,142,39.8,36.3,242,59.5,45.5,293,18,6.1,16,0.42,13.9
6,vs Hellas Verona,3,38.0,65,7,0,2,2,56.7,0.33,-8.3,-0.22,349,863,40.4,1192,135,55.5,42.8,279,72.0,49.8,300,18,6.0,22,0.58,14.4
7,vs Inter,2,38.0,84,7,1,14,1,76.8,0.29,-7.2,-0.19,227,587,38.7,1024,186,40.5,37.4,321,53.6,44.1,384,27,7.0,23,0.61,13.7
8,vs Juventus,3,38.0,57,5,0,8,1,54.0,0.3,-3.0,-0.08,257,595,43.2,912,133,47.4,39.3,293,55.6,43.4,289,18,6.2,13,0.34,13.6
9,vs Lazio,2,38.0,77,7,0,6,3,71.8,0.35,-5.2,-0.14,244,527,46.3,1110,176,35.6,34.3,239,55.2,43.2,282,16,5.7,16,0.42,13.0
10,vs Milan,2,38.0,69,5,4,4,3,59.0,0.29,-10.0,-0.26,308,620,49.7,975,146,47.4,38.5,294,53.7,42.0,340,22,6.5,14,0.37,13.0
11,vs Napoli,3,38.0,74,10,0,9,0,61.9,0.28,-12.1,-0.32,241,578,41.7,1027,153,43.3,37.5,257,51.8,41.7,268,20,7.5,19,0.5,13.9
12,vs Roma,1,38.0,59,7,3,11,1,62.7,0.31,3.7,0.1,212,518,40.9,1011,178,36.2,35.4,298,51.0,40.4,292,17,5.8,15,0.39,12.8
13,vs Salernitana,3,38.0,33,4,3,5,1,38.1,0.26,5.1,0.13,169,386,43.8,942,166,32.8,33.9,194,39.7,36.4,319,20,6.3,13,0.34,13.5
14,vs Sampdoria,3,38.0,46,2,1,6,4,39.0,0.3,-7.0,-0.18,210,511,41.1,963,138,43.0,37.9,211,46.0,39.2,341,23,6.7,15,0.39,12.7
15,vs Sassuolo,3,38.0,64,7,1,3,4,65.1,0.29,1.1,0.03,223,445,50.1,955,165,35.0,34.0,247,44.9,38.2,234,17,7.3,18,0.47,13.7
16,vs Spezia,3,38.0,41,3,0,6,3,41.2,0.29,0.2,0.01,200,472,42.4,1001,162,37.6,35.5,221,43.4,37.4,254,13,5.1,26,0.68,14.8
17,vs Torino,3,38.0,46,6,0,6,3,45.5,0.29,-0.5,-0.01,363,846,42.9,1234,122,56.8,43.9,224,64.7,47.7,346,19,5.5,17,0.45,13.9
18,vs Udinese,2,38.0,61,3,3,9,3,59.6,0.32,-1.4,-0.04,176,449,39.2,980,192,34.9,35.2,225,47.6,39.8,256,20,7.8,21,0.55,14.3
19,vs Venezia,3,38.0,34,3,0,3,0,34.2,0.27,0.2,0.0,223,462,48.3,909,168,38.5,36.5,222,50.5,41.9,312,33,10.6,23,0.61,14.2
