,Player,Nation,Pos,Age,MP,Starts,Min,90s,Gls,Ast,G-PK,PK,PKatt,CrdY,CrdR,Gls/P90,Ast/P90,G+A/P90,G-PK/P90,G+A-PK/P90,xG,npxG,xA,npxG+xA,xG/P90,xA/P90,xG+xA/P90,npxG/P90,npxG+xA/P90
0,Mike Maignan,fr FRA,GK,26.0,32,32,2880.0,32.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.03,0.03,0.0,0.03,0.0,0.0,0.4,0.4,0.0,0.01,0.01,0.0,0.01
1,Rafael Leão,pt POR,FW,22.0,34,31,2605.0,28.9,11.0,10.0,11.0,0.0,0.0,4.0,0.0,0.38,0.35,0.73,0.38,0.73,9.1,9.1,6.3,15.4,0.32,0.22,0.53,0.32,0.53
2,Sandro Tonali,it ITA,MF,21.0,36,31,2600.0,28.9,5.0,2.0,5.0,0.0,0.0,9.0,0.0,0.17,0.07,0.24,0.17,0.24,4.3,4.3,4.0,8.3,0.15,0.14,0.29,0.15,0.29
3,Fikayo Tomori,eng ENG,DF,23.0,31,30,2718.0,30.2,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,2.2,2.2,0.1,2.2,0.07,0.0,0.07,0.07,0.07
4,Theo Hernández,fr FRA,DF,23.0,32,30,2711.0,30.1,5.0,5.0,4.0,1.0,2.0,7.0,2.0,0.17,0.17,0.33,0.13,0.3,3.9,2.9,6.4,9.3,0.13,0.21,0.34,0.1,0.31
5,Franck Kessié,ci CIV,MF,24.0,31,25,2308.0,25.6,6.0,0.0,4.0,2.0,3.0,2.0,0.0,0.23,0.0,0.23,0.16,0.16,4.4,2.1,1.5,3.6,0.17,0.06,0.23,0.08,0.14
6,Brahim Díaz,es ESP,MF,21.0,31,25,1855.0,20.6,3.0,3.0,3.0,0.0,0.0,4.0,0.0,0.15,0.15,0.29,0.15,0.29,4.7,4.7,2.5,7.2,0.23,0.12,0.35,0.23,0.35
7,Davide Calabria,it ITA,DF,24.0,26,24,2119.0,23.5,2.0,2.0,2.0,0.0,0.0,2.0,0.0,0.08,0.08,0.17,0.08,0.17,3.2,3.2,1.4,4.6,0.14,0.06,0.2,0.14,0.2
8,Olivier Giroud,fr FRA,FW,34.0,29,22,1892.0,21.0,11.0,3.0,9.0,2.0,2.0,4.0,0.0,0.52,0.14,0.67,0.43,0.57,10.3,8.8,2.0,10.8,0.49,0.1,0.59,0.42,0.51
9,Alexis Saelemaekers,be BEL,FW,22.0,36,22,1865.0,20.7,1.0,3.0,1.0,0.0,0.0,2.0,0.0,0.05,0.14,0.19,0.05,0.19,3.3,3.3,3.6,6.9,0.16,0.17,0.33,0.16,0.33
10,Pierre Kalulu,fr FRA,DF,21.0,28,21,1944.0,21.6,1.0,2.0,1.0,0.0,0.0,4.0,0.0,0.05,0.09,0.14,0.05,0.14,0.4,0.4,0.5,0.8,0.02,0.02,0.04,0.02,0.04
11,Alessio Romagnoli,it ITA,DF,26.0,19,16,1409.0,15.7,1.0,0.0,1.0,0.0,0.0,4.0,1.0,0.06,0.0,0.06,0.06,0.06,0.7,0.7,0.1,0.8,0.04,0.01,0.05,0.04,0.05
12,Ismaël Bennacer,dz ALG,MF,23.0,31,15,1525.0,16.9,2.0,1.0,2.0,0.0,0.0,7.0,0.0,0.12,0.06,0.18,0.12,0.18,0.8,0.8,2.0,2.8,0.05,0.12,0.16,0.05,0.16
13,Rade Krunić,ba BIH,"MF,FW",27.0,28,15,1416.0,15.7,0.0,1.0,0.0,0.0,0.0,2.0,0.0,0.0,0.06,0.06,0.0,0.06,0.9,0.9,0.9,1.8,0.06,0.05,0.11,0.06,0.11
