,Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Playing Time,Playing Time,Playing Time,Playing Time,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Expected,Expected,Expected,Expected,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes
,Squad,# Pl,Age,Poss,MP,Starts,Min,90s,Gls,Ast,G-PK,PK,PKatt,CrdY,CrdR,Gls,Ast,G+A,G-PK,G+A-PK,xG,npxG,xA,npxG+xA,xG,xA,xG+xA,npxG,npxG+xA
0,vs Atalanta,32,26.6,44.9,38,418,3420,38.0,45,29,40,5,6,94,1,1.18,0.76,1.95,1.05,1.82,45.3,40.7,31.1,71.8,1.19,0.82,2.01,1.07,1.89
1,vs Bologna,36,26.5,49.3,38,418,3420,38.0,53,32,45,8,9,83,4,1.39,0.84,2.24,1.18,2.03,54.2,47.3,37.0,84.3,1.43,0.97,2.4,1.24,2.22
2,vs Cagliari,33,26.7,55.6,38,418,3420,38.0,67,41,60,7,10,74,5,1.76,1.08,2.84,1.58,2.66,61.4,53.8,42.2,96.0,1.62,1.11,2.73,1.42,2.53
3,vs Empoli,28,27.0,52.9,38,418,3420,38.0,64,44,59,5,10,80,1,1.68,1.16,2.84,1.55,2.71,67.8,60.4,47.7,108.1,1.79,1.26,3.04,1.59,2.84
4,vs Fiorentina,28,26.7,41.8,38,418,3420,38.0,49,33,46,3,5,103,4,1.29,0.87,2.16,1.21,2.08,44.1,40.5,32.8,73.3,1.16,0.86,2.02,1.07,1.93
5,vs Genoa,40,26.7,56.1,38,418,3420,38.0,58,35,54,4,5,82,1,1.53,0.92,2.45,1.42,2.34,51.6,47.8,36.6,84.4,1.36,0.96,2.32,1.26,2.22
6,vs Hellas Verona,31,26.8,49.4,38,418,3420,38.0,57,38,54,3,4,74,3,1.5,1.0,2.5,1.42,2.42,48.9,45.7,33.0,78.7,1.29,0.87,2.16,1.2,2.07
7,vs Inter,27,26.7,43.4,38,418,3420,38.0,31,19,27,4,4,79,5,0.82,0.5,1.32,0.71,1.21,39.2,36.2,25.3,61.5,1.03,0.66,1.7,0.95,1.62
8,vs Juventus,32,26.8,48.3,38,418,3420,38.0,36,21,32,4,7,94,4,0.95,0.55,1.5,0.84,1.39,38.0,32.7,23.7,56.4,1.0,0.62,1.62,0.86,1.49
9,vs Lazio,27,26.5,44.4,38,418,3420,38.0,57,40,52,5,6,100,7,1.5,1.05,2.55,1.37,2.42,48.3,43.7,33.2,76.9,1.27,0.87,2.14,1.15,2.02
10,vs Milan,28,27.0,45.8,38,418,3420,38.0,29,19,25,4,5,91,6,0.76,0.5,1.26,0.66,1.16,34.8,31.1,22.5,53.6,0.92,0.59,1.51,0.82,1.41
11,vs Napoli,27,26.6,41.5,38,418,3420,38.0,30,19,29,1,1,101,9,0.79,0.5,1.29,0.76,1.26,31.9,31.2,24.3,55.5,0.84,0.64,1.48,0.82,1.46
12,vs Roma,29,26.8,48.6,38,418,3420,38.0,41,23,36,5,6,106,8,1.08,0.61,1.68,0.95,1.55,38.5,34.0,25.6,59.6,1.01,0.67,1.69,0.89,1.57
13,vs Salernitana,42,26.8,59.0,38,418,3420,38.0,76,58,70,6,8,98,8,2.0,1.53,3.53,1.84,3.37,65.9,59.9,44.7,104.7,1.73,1.18,2.91,1.58,2.75
14,vs Sampdoria,34,26.7,54.1,38,418,3420,38.0,61,41,58,3,4,82,2,1.61,1.08,2.68,1.53,2.61,58.5,55.5,38.9,94.5,1.54,1.02,2.56,1.46,2.49
15,vs Sassuolo,29,26.8,44.8,38,418,3420,38.0,65,48,57,8,9,83,6,1.71,1.26,2.97,1.5,2.76,66.9,60.0,47.5,107.5,1.76,1.25,3.01,1.58,2.83
16,vs Spezia,30,27.0,57.3,38,418,3420,38.0,68,44,58,10,13,85,2,1.79,1.16,2.95,1.53,2.68,67.7,58.1,45.5,103.6,1.78,1.2,2.98,1.53,2.73
17,vs Torino,31,26.8,46.4,38,418,3420,38.0,41,25,32,9,11,96,7,1.08,0.66,1.74,0.84,1.5,39.7,31.4,24.2,55.6,1.05,0.64,1.68,0.83,1.46
18,vs Udinese,29,26.8,57.7,38,418,3420,38.0,57,39,52,5,7,107,6,1.5,1.03,2.53,1.37,2.39,52.0,47.1,32.1,79.2,1.37,0.84,2.21,1.24,2.08
19,vs Venezia,39,26.8,57.9,38,418,3420,38.0,67,39,56,11,12,79,3,1.76,1.03,2.79,1.47,2.5,72.4,64.4,44.7,109.1,1.91,1.18,3.08,1.69,2.87
