,Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Playing Time,Playing Time,Playing Time,Playing Time,Playing Time,Starts,Starts,Starts,Subs,Subs,Subs,Team Success,Team Success,Team Success,Team Success,Team Success,Team Success (xG),Team Success (xG),Team Success (xG),Team Success (xG)
,Squad,# Pl,Age,MP,Min,Mn/MP,Min%,90s,Starts,Mn/Start,Compl,Subs,Mn/Sub,unSub,PPM,onG,onGA,+/-,+/-90,onxG,onxGA,xG+/-,xG+/-90
0,vs Atalanta,32,26.6,38,3420,90,100,38.0,418,80,237,180,24,265,1.16,,,,,45.3,66.0,-20.7,-0.55
1,vs Bologna,36,26.5,38,3420,90,100,38.0,418,81,242,171,20,258,1.53,,,,,54.2,44.1,10.1,0.27
2,vs Cagliari,33,26.7,38,3420,90,100,38.0,418,82,259,157,21,252,1.89,,,,,61.4,39.6,21.8,0.57
3,vs Empoli,28,27.0,38,3420,90,100,38.0,418,80,236,178,23,257,1.63,,,,,67.8,46.6,21.2,0.56
4,vs Fiorentina,28,26.7,38,3420,90,100,38.0,418,81,235,179,21,252,1.24,,,,,44.1,58.8,-14.7,-0.39
5,vs Genoa,40,26.7,38,3420,90,100,38.0,418,78,241,179,27,267,1.84,,,,,51.6,37.8,13.8,0.36
6,vs Hellas Verona,31,26.8,38,3420,90,100,38.0,418,81,250,165,23,259,1.32,,,,,48.9,51.8,-2.9,-0.08
7,vs Inter,27,26.7,38,3420,90,100,38.0,418,81,232,186,19,261,0.55,,,,,39.2,81.4,-42.2,-1.11
8,vs Juventus,32,26.8,38,3420,90,100,38.0,418,81,257,161,23,271,0.89,,,,,38.0,51.5,-13.4,-0.35
9,vs Lazio,27,26.5,38,3420,90,100,38.0,418,82,258,155,21,254,1.05,,,,,48.3,55.8,-7.6,-0.2
10,vs Milan,28,27.0,38,3420,90,100,38.0,418,80,244,173,23,263,0.53,,,,,34.8,63.1,-28.3,-0.74
11,vs Napoli,27,26.6,38,3420,90,100,38.0,418,82,247,172,18,254,0.74,,,,,31.9,59.4,-27.6,-0.73
12,vs Roma,29,26.8,38,3420,90,100,38.0,418,83,262,151,19,263,1.11,,,,,38.5,63.7,-25.2,-0.66
13,vs Salernitana,42,26.8,38,3420,90,100,38.0,418,80,235,179,23,261,1.92,,,,,65.9,37.7,28.2,0.74
14,vs Sampdoria,34,26.7,38,3420,90,100,38.0,418,82,249,167,20,261,1.89,,,,,58.5,37.0,21.5,0.57
15,vs Sassuolo,29,26.8,38,3420,90,100,38.0,418,83,251,165,17,260,1.39,,,,,66.9,55.8,11.0,0.29
16,vs Spezia,30,27.0,38,3420,90,100,38.0,418,82,278,137,23,259,1.89,,,,,67.7,39.2,28.5,0.75
17,vs Torino,31,26.8,38,3420,90,100,38.0,418,81,253,163,22,268,1.39,,,,,39.7,48.8,-9.1,-0.24
18,vs Udinese,29,26.8,38,3420,90,100,38.0,418,82,259,155,21,265,1.39,,,,,52.0,53.1,-1.0,-0.03
19,vs Venezia,39,26.8,38,3420,90,100,38.0,418,79,229,183,24,252,2.05,,,,,72.4,36.0,36.4,0.96
