,Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,SCA,SCA,SCA Types,SCA Types,SCA Types,SCA Types,SCA Types,SCA Types,GCA,GCA,GCA Types,GCA Types,GCA Types,GCA Types,GCA Types,GCA Types
,Squad,# Pl,90s,SCA,SCA90,PassLive,PassDead,Drib,Sh,Fld,Def,GCA,GCA90,PassLive,PassDead,Drib,Sh,Fld,Def
0,vs Atalanta,32,38.0,625,16.45,477,39,28,32,32,17,78,2.05,51,6,4,7,6,4
1,vs Bologna,36,38.0,851,22.39,646,61,42,36,46,20,84,2.21,60,4,3,6,8,3
2,vs Cagliari,33,38.0,848,22.32,614,75,49,49,46,15,107,2.82,73,8,9,9,8,0
3,vs Empoli,28,38.0,1077,28.34,784,103,39,80,43,28,108,2.84,82,5,3,12,5,1
4,vs Fiorentina,28,38.0,539,14.18,369,55,32,30,34,19,79,2.08,56,6,4,3,5,5
5,vs Genoa,40,38.0,811,21.34,589,70,47,48,43,14,95,2.5,67,5,6,10,7,0
6,vs Hellas Verona,31,38.0,733,19.29,524,69,40,36,41,23,89,2.34,66,7,3,8,4,1
7,vs Inter,27,38.0,637,16.76,454,51,33,46,26,27,50,1.32,34,1,3,6,4,2
8,vs Juventus,32,38.0,702,18.47,516,72,22,35,34,23,55,1.45,34,4,2,8,6,1
9,vs Lazio,27,38.0,718,18.89,527,60,37,42,32,20,97,2.55,68,6,8,7,8,0
10,vs Milan,28,38.0,622,16.37,458,55,28,36,27,18,42,1.11,24,4,2,6,2,4
11,vs Napoli,27,38.0,659,17.34,479,57,32,38,31,22,42,1.11,31,4,2,4,1,0
12,vs Roma,29,38.0,612,16.11,468,44,23,25,39,13,66,1.74,42,5,4,7,8,0
13,vs Salernitana,42,38.0,935,24.61,683,80,50,54,44,24,123,3.24,92,7,9,8,5,2
14,vs Sampdoria,34,38.0,851,22.39,636,74,36,54,35,16,92,2.42,68,3,6,12,3,0
15,vs Sassuolo,29,38.0,843,22.18,613,82,33,49,39,27,106,2.79,73,10,5,6,9,3
16,vs Spezia,30,38.0,1019,26.82,751,71,60,63,48,26,109,2.87,73,5,8,10,11,2
17,vs Torino,31,38.0,606,15.95,414,77,18,30,54,13,70,1.84,47,5,1,4,10,3
18,vs Udinese,29,38.0,737,19.39,529,65,51,35,40,17,85,2.24,60,3,9,6,6,1
19,vs Venezia,39,38.0,1018,26.79,727,93,49,79,53,17,98,2.58,63,4,9,15,5,2
