,Unnamed: 0_level_0,Unnamed: 1_level_0,Playing Time,Playing Time,Playing Time,Playing Time,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Penalty Kicks,Penalty Kicks,Penalty Kicks,Penalty Kicks,Penalty Kicks
,Squad,# Pl,MP,Starts,Min,90s,GA,GA90,SoTA,Saves,Save%,W,D,L,CS,CS%,PKatt,PKA,PKsv,PKm,Save%
0,vs Almería,1,3,3,270,3.0,4,1.33,18,14,77.8,1,1,1,0,0.0,0,0,0,0,
1,vs Athletic Club,1,3,3,270,3.0,5,1.67,15,10,66.7,0,1,2,1,33.3,1,0,1,0,100.0
2,vs Atlético Madrid,1,3,3,270,3.0,4,1.33,17,13,76.5,1,0,2,1,33.3,0,0,0,0,
3,vs Barcelona,1,3,3,270,3.0,8,2.67,21,12,61.9,0,1,2,1,33.3,0,0,0,0,
4,vs Betis,1,3,3,270,3.0,6,2.0,10,6,60.0,0,0,3,0,0.0,2,2,0,0,0.0
5,vs Cádiz,1,3,3,270,3.0,0,0.0,6,6,100.0,3,0,0,3,100.0,0,0,0,0,
6,vs Celta Vigo,1,3,3,270,3.0,4,1.33,10,7,70.0,1,1,1,0,0.0,1,1,0,0,0.0
7,vs Elche,1,3,3,270,3.0,1,0.33,10,9,90.0,2,1,0,2,66.7,0,0,0,0,
8,vs Espanyol,1,3,3,270,3.0,3,1.0,6,3,66.7,2,1,0,1,33.3,1,1,0,0,0.0
9,vs Getafe,1,3,3,270,3.0,1,0.33,5,4,80.0,2,1,0,2,66.7,0,0,0,0,
10,vs Girona,1,3,3,270,3.0,3,1.0,11,9,72.7,2,0,1,2,66.7,0,0,0,0,
11,vs Mallorca,1,3,3,270,3.0,3,1.0,13,10,76.9,1,1,1,1,33.3,0,0,0,0,
12,vs Osasuna,1,3,3,270,3.0,4,1.33,7,6,85.7,1,0,2,1,33.3,3,3,0,0,0.0
13,vs Rayo Vallecano,1,3,3,270,3.0,2,0.67,6,4,66.7,1,1,1,2,66.7,0,0,0,0,
14,vs Real Madrid,1,3,3,269,3.0,8,2.68,27,19,74.1,0,0,3,0,0.0,2,1,1,0,50.0
15,vs Real Sociedad,1,3,3,270,3.0,3,1.0,16,13,81.3,1,0,2,0,0.0,1,0,1,0,100.0
16,vs Sevilla,1,3,3,270,3.0,3,1.0,11,8,72.7,2,1,0,0,0.0,0,0,0,0,
17,vs Valencia,1,3,3,270,3.0,1,0.33,3,3,100.0,2,0,1,2,66.7,1,1,0,0,0.0
18,vs Valladolid,2,3,3,270,3.0,1,0.33,11,10,90.9,2,1,0,2,66.7,0,0,0,0,
19,vs Villarreal,1,3,3,270,3.0,5,1.67,15,10,66.7,0,1,2,1,33.3,0,0,0,0,
