,Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Total,Total,Total,Total,Total,Short,Short,Short,Medium,Medium,Medium,Long,Long,Long,Unnamed: 17_level_0,Unnamed: 18_level_0,Unnamed: 19_level_0,Unnamed: 20_level_0,Unnamed: 21_level_0,Unnamed: 22_level_0,Unnamed: 23_level_0,Unnamed: 24_level_0
,Squad,# Pl,90s,Cmp,Att,Cmp%,TotDist,PrgDist,Cmp,Att,Cmp%,Cmp,Att,Cmp%,Cmp,Att,Cmp%,Ast,xA,A-xA,KP,1/3,PPA,CrsPA,Prog
0,vs Almería,20,3.0,1517,1756,86.4,28549,8646,669,728,91.9,601,656,91.6,216,313,69.0,3,3.3,-0.3,44,151,38,14,117
1,vs Athletic Club,22,3.0,677,872,77.6,14236,5039,250,278,89.9,292,352,83.0,122,212,57.5,0,1.0,-1.0,11,51,10,6,49
2,vs Atlético Madrid,18,3.0,795,938,84.8,17573,5496,255,276,92.4,357,393,90.8,172,242,71.1,1,2.0,-1.0,17,54,13,6,66
3,vs Barcelona,19,3.0,794,1046,75.9,15007,5562,350,404,86.6,304,363,83.7,117,219,53.4,0,1.2,-1.2,14,41,12,3,45
4,vs Betis,20,3.0,810,1083,74.8,16966,6566,288,336,85.7,363,426,85.2,146,279,52.3,1,1.7,-0.7,23,65,13,2,71
5,vs Cádiz,19,3.0,746,954,78.2,14915,5566,318,358,88.8,294,359,81.9,125,203,61.6,4,1.8,2.2,19,58,24,6,68
6,vs Celta Vigo,17,3.0,1277,1547,82.5,25613,8056,484,561,86.3,560,617,90.8,211,316,66.8,3,2.4,0.6,23,93,19,3,81
7,vs Elche,22,3.0,1302,1542,84.4,25146,8380,521,575,90.6,580,645,89.9,185,286,64.7,4,2.9,1.1,23,84,20,4,100
8,vs Espanyol,18,3.0,1348,1604,84.0,25612,7986,586,638,91.8,540,606,89.1,192,307,62.5,6,3.3,2.7,29,85,28,9,102
9,vs Getafe,17,3.0,1440,1697,84.9,28417,8006,557,614,90.7,636,695,91.5,218,332,65.7,4,2.8,1.2,30,76,18,4,105
10,vs Girona,19,3.0,919,1184,77.6,17975,5754,388,445,87.2,358,428,83.6,154,276,55.8,1,1.2,-0.2,20,82,11,3,59
11,vs Mallorca,17,3.0,1294,1599,80.9,25687,8278,521,578,90.1,535,628,85.2,210,328,64.0,0,2.7,-2.7,34,116,35,13,126
12,vs Osasuna,19,3.0,1150,1414,81.3,23047,7821,444,488,91.0,519,595,87.2,169,291,58.1,2,1.4,0.6,16,71,19,5,84
13,vs Rayo Vallecano,19,3.0,1185,1462,81.1,25086,8215,415,470,88.3,542,606,89.4,217,346,62.7,1,2.2,-1.2,29,92,27,6,117
14,vs Real Madrid,20,3.0,1039,1258,82.6,19958,6861,426,487,87.5,449,501,89.6,147,231,63.6,1,1.7,-0.7,29,70,23,5,82
15,vs Real Sociedad,20,3.0,1087,1346,80.8,20740,6557,465,509,91.4,432,498,86.7,159,280,56.8,3,2.2,0.8,27,75,15,3,64
16,vs Sevilla,22,3.0,678,941,72.1,14395,5698,272,327,83.2,271,329,82.4,123,253,48.6,3,2.0,1.0,20,49,10,4,47
17,vs Valencia,20,3.0,615,794,77.5,12486,4460,219,255,85.9,281,332,84.6,99,175,56.6,2,1.3,0.7,9,54,16,4,56
18,vs Valladolid,21,3.0,1397,1685,82.9,27239,9070,576,654,88.1,574,654,87.8,217,312,69.6,5,4.8,0.2,46,136,47,7,144
19,vs Villarreal,17,3.0,1035,1306,79.2,20270,6649,407,466,87.3,448,520,86.2,157,270,58.1,0,1.8,-1.8,23,70,21,9,75
