,Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Playing Time,Playing Time,Playing Time,Playing Time,Playing Time,Starts,Starts,Starts,Subs,Subs,Subs,Team Success,Team Success,Team Success,Team Success,Team Success,Team Success (xG),Team Success (xG),Team Success (xG),Team Success (xG)
,Squad,# Pl,Age,MP,Min,Mn/MP,Min%,90s,Starts,Mn/Start,Compl,Subs,Mn/Sub,unSub,PPM,onG,onGA,+/-,+/-90,onxG,onxGA,xG+/-,xG+/-90
0,vs Almería,20,28.9,3,270,90,100,3.0,33,83,19,14,17,20,1.33,,,,,4.6,3.5,1.1,0.36
1,vs Athletic Club,22,27.4,3,270,90,100,3.0,33,83,18,15,16,20,0.33,,,,,1.3,3.1,-1.8,-0.59
2,vs Atlético Madrid,18,26.6,3,270,90,100,3.0,33,80,17,15,22,21,1.0,,,,,2.6,2.5,0.1,0.03
3,vs Barcelona,19,27.7,3,270,90,100,3.0,33,80,17,15,21,20,0.33,,,,,2.1,7.3,-5.2,-1.73
4,vs Betis,20,28.6,3,270,90,100,3.0,33,84,20,12,16,20,0.0,,,,,2.4,5.6,-3.2,-1.06
5,vs Cádiz,19,27.2,3,270,90,100,3.0,33,77,17,15,27,19,3.0,,,,,4.3,1.5,2.7,0.91
6,vs Celta Vigo,17,27.3,3,270,90,100,3.0,33,85,22,11,15,15,1.33,,,,,5.3,2.3,3.0,1.0
7,vs Elche,22,26.3,3,270,90,100,3.0,33,76,17,15,25,14,2.33,,,,,5.5,2.3,3.2,1.08
8,vs Espanyol,18,28.3,3,270,90,100,3.0,33,81,20,11,21,20,2.33,,,,,3.5,3.3,0.2,0.07
9,vs Getafe,17,28.2,3,270,90,100,3.0,33,85,23,9,19,19,2.33,,,,,3.0,1.6,1.5,0.49
10,vs Girona,19,26.3,3,270,90,100,3.0,33,80,20,14,24,25,2.0,,,,,3.1,2.0,1.1,0.35
11,vs Mallorca,17,28.3,3,270,90,100,3.0,33,86,21,12,12,16,1.33,,,,,4.7,2.0,2.8,0.92
12,vs Osasuna,19,29.3,3,270,90,100,3.0,33,81,18,15,19,21,1.0,,,,,2.5,4.9,-2.3,-0.78
13,vs Rayo Vallecano,19,27.5,3,270,90,100,3.0,33,79,18,14,21,21,1.33,,,,,3.7,3.4,0.4,0.12
14,vs Real Madrid,20,27.0,3,270,90,100,3.0,33,82,19,14,19,20,0.0,,,,,3.0,7.4,-4.4,-1.47
15,vs Real Sociedad,20,27.4,3,270,90,100,3.0,33,83,18,15,16,20,1.0,,,,,3.2,4.0,-0.7,-0.24
16,vs Sevilla,22,27.4,3,270,90,100,3.0,33,80,18,15,23,21,2.33,,,,,4.2,4.5,-0.3,-0.11
17,vs Valencia,20,27.4,3,270,90,100,3.0,33,78,17,15,25,16,2.0,,,,,1.6,2.6,-1.0,-0.35
18,vs Valladolid,21,27.5,3,270,90,100,3.0,33,75,18,15,33,19,2.33,,,,,6.9,2.3,4.7,1.55
19,vs Villarreal,17,28.0,3,270,90,100,3.0,33,81,20,13,22,22,0.33,,,,,2.5,4.2,-1.6,-0.55
